ulasan,nilai
"Ingat yaaa, ada bonus di pintu untuk pengguna baru yg memasukan nick@""KODEUNIK"" saat mendaftar dan jangan lupa ikut join di group telenya, banyak info"" berguna soalnya!!!<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;;;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;!!!!;!!!!;!!!!!!!!!!!!!!;!!!!!!!!;!!!!!;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIF
👍👍,POSITIF
Top,POSITIF
Biyaya admin nya mahal bangeeeeetttt,NEGATIF
error mulu,NEGATIF
Fitur jual-belinya super LELET. Harga beli n jual TIDAK SESUAI yg tertera. Aplikasi ini Sering ERORRRRRRR. PENIPU,NEGATIF
"Masa invest mulai 4,7jt cokkkk, katanya 11rb",NEGATIF
"Kenapa transaksi minimum bitcoin jadi 4,7 jt ya, uangku jadi tertelan nih, mana lagi butuh lagi... Responya dong!",NEGATIF
Kok saya tarik saldo dari coin nya gabisa ya help,NEGATIF
Kenapa min pembelian btc jadi 4.7jt? Padahal tadi siang masih bisa min 11k,NEGATIF
Aplikasi ga guna ngen uh giliran beli eror pas dijual maintenance licik bgt anjirrr,NEGATIF
Kenapa sekarang transaksi minimal nya berubah jadi 4700rb. Lah trus aset saya gmna bisa di ambilnya klo aset yg saya semula 400rb susut 200rb. Sekarang saya mau tarik malah dibuat minimal 4700rb. Sedih banget rasanya,NEGATIF
Sering errorrrrrr,NEGATIF
Bagus sih cuma maintence nya dipercepat,NEGATIF
Ok,POSITIF
Mantap,POSITIF
Bermasalah teros,NEGATIF
di update makin lambat aplikasi nya mau jual aj payah,NEGATIF
Mantab,POSITIF
"Ahhhh ,,,, Masih lemot",NEGATIF
Dtunggu bonusnya,POSITIF
Good,POSITIF
A D A Y A Ng Dan Pas Di Ya,POSITIF
Kalo beli salah satu saham pasti naik y lama tp kalo g beli naik turun y cepet hadeuuuhhh,NEGATIF
Mantap👍,POSITIF
Masih Mempelajari Apl,POSITIF
Aplikasi penipu masak saya udh pke kode reffnya nmyang dpt bonus 50k tpi gak adaa penipuuuuuuuuuuuu tutup aja lah kau lagi apk,NEGATIF
"Lemot,,jual/beli lebih cepat versi sebelumnya",NEGATIF
luar biasa,POSITIF
biayanya tranfer crypto di pintu gak ngotak semua rata rata 600 ribuan ogah gw dagang disini yg ada tekor,NEGATIF
Gunakan refferal @sinarputih . biar invest mu tambah bersinar,POSITIF
Mantap,POSITIF
Yuk invest berjamaah pakai referal @indrarizki13823,POSITIF
Ok,POSITIF
Semoga amanah,POSITIF
sya penguna baru ... smga bisa bruntung di sni ....,POSITIF
nice good,POSITIF
semogah dapat hadia airdrop lagi terima kasih Pintu,POSITIF
Aplikasi banyak bug,NEGATIF
Jozzz,POSITIF
top markotop pokok ke wesss,POSITIF
"Jadi lebih mudah bersama pintu ditambah ada nick yg bisa kita cantumkan untuk dapat bonus yaitu @BUKAPINTU, lumayan loh bonus gratisnya<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIF
"Parah harga live, estimasi hingga harga final selalu beda. Tp yg pasti itu merugikan pelanggan.",NEGATIF
good job 👍👍👍,POSITIF
"Apk sudah ketinggalan zaman,coin cuma sedikit system tidak jelas !!!!",NEGATIF
App ini. Gk brmutu. Lah. Kcewa.kasih bintang 1 makasih,NEGATIF
Apk yg sangat bagus,POSITIF
Mantap,POSITIF
Good,POSITIF
Ini bagaimana sih ngerjain orang terus ....saya sudah empat kali suruh ngulang terus terusan poto selfi.. Itu kan yang potoin saya sendiri bukan orang lain...malah alasan harus potoin sendiri...udah tau itu yang poto saya sendiri... Dah ajah kalau saya tidak bisa daftar tolong hapus data data saya di apk pintu. Baru kali ini Daftar aplikasi yanf Ribet Cuman apk PINTU doang. Malah ngerjain orang disuruh poto selfi terus terusan harus poto ulang,NEGATIF
"Saya kecewa sama APK PINTU ini baru juga daftar sdah gk nyaman kayak gini, saya transaksi udah ajak teman dan teman memasukan kode undangan saya bahkan dia sdah transaksi juga, tapi saya dan teman yg saya undang gk dapat apa"" saya chat admin nya 1 jam sekali bahkan gk di balas"" lagi gk sesuai dengan event fan promosi nya",NEGATIF
Im interested,POSITIF
permisi untuk pihak pintu tolong tambah coin tron dan dash dong biar lebih mantap,POSITIF
Setelah di update alamat wallet nya ko jadi berubah???,POSITIF
Josss tapi speed harga lumayan hmmm,POSITIF
sangat bagus,POSITIF
Gimana kalo lupa akun gmail... sudah daftar tapi lupa,NEGATIF
bagus,POSITIF
4 duluyo bos......semoga lancarrrrrrr,POSITIF
Pengalihan aset kok tggu lama deposit mah cepet giliran dialihkan mlh dana lenyap tadinya bintang 5 gua rubah jadi bintang 1 wong slow respon..pikir2 LG aja klo download apk ini..,NEGATIF
"Mantap pintu, dapat real uang untuk dipasarkan.. Maju terus pintu ajaib",POSITIF
Verifikasi lama banget bilangnya 5 menit tapi udh 2 jam ga di acc,NEGATIF
Mantap,POSITIF
Mantap,POSITIF
😘,POSITIF
Bagus,POSITIF
Kapan pintu rilis shiba,POSITIF
Luar biasa,POSITIF
"Mantap, gimana cara yaa biar dapat bonus....",POSITIF
Bgus,POSITIF
"Aplikasi paling berguna banget buat menjual dan membeli mata uang digital dan aplikasi ini menjadi wallet yang terpercaya sekali, untuk pengguna baru masukan nickname referal ( @-wakadombrenk-87 ) agar dapat komisi dari teman, aplikasi ini sangat mudah digunakan untuk yang baru kenal crpto!!!!!!!!!!!!???????!!!!????!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIF
"Bagus tingkatkan, jngan lupa masukkan kode refferal untuk bonus @reygiz",POSITIF
Potongan beli sama jualnya tambah parah bukannya cuan malahan tekor👈,NEGATIF
Mantap wd depo super cepat,POSITIF
Bagus tapi tolong untuk pilihan cryptonya di tambahin,POSITIF
baru nyoba investasi krna sdh diawasi ojk dan semoga aj ya aplikasinya aman,POSITIF
"Mata uang msh sangat minim,BCH,Ltc,trx,monero,Zec,Dash,DGB ga ada.satu lg kelemahan pintu msh blm support jaringan trc20 dan bep20...tolong kembangkan lg sprti wallet terbesar nmr 1 di indonesia indodax",NEGATIF
ka apakah wajig pake kode reff teman terkait pintu bagi btc Rp. 50000.?,POSITIF
Lebih mirip aplikasi maling ya... sread nya ga besar bgt... sampe kapan tetep kalah mulu....,NEGATIF
Cocok banget buat pemula...,POSITIF
Mending di pintu juga dah..kalo investasi cepat wd nya topup pun masuk kilat...apa lgi di barengin pas awal daftar masukan @masterku....sooo ambil bonus saldonya ..bisa langsu kuga buattt investasi loh..kuy<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!😃,POSITIF
"Nice, semakin lama firur nya semakin lengkap..",POSITIF
Tolong dong di perbaiki bagian jua/beli....,POSITIF
Mantap,POSITIF
Mantap,POSITIF
Mantap,POSITIF
"Ok baguslah, lancar Deposit dan juga lancar Withdrawal (gak pake lama),berarti gak abal2 ini aplikasi,untuk urusan hasilnya itu mah tergantung hoki.",POSITIF
Jaringan LeLettttttt... 👎👎👎👎👎👎👎👎,NEGATIF
Ok,POSITIF
"NICE...mudah tuk digunakan,jarang² mau kasi ulasan.sepanjang pengunaan aman² saja",POSITIF
Respon cs nya lama banget,NEGATIF
Aplikasi bagus buat belajar trading bagi pemula,POSITIF
"Min kok biaya admin nya mahal jga ya apalagi tranver antar bank . Diaplikasi sebelah plu**g sangat murah ,semoga kedepannya aplikasi ini bisa jadi solusi utk investasi milineal",POSITIF
Aplikasi good,POSITIF
Buat saya yang masih pemula Aplikasi Pintu sangat membantu Karena Simple dan mudah di pahami,POSITIF
Apk sgt bgus....banyak belajar banyak ilmu banyak pemasukan,POSITIF
mantul,POSITIF
Muwaannttaappppooollll,POSITIF
Ketuk pintu dulu biar masuk ke dalam dunianya,POSITIF
"Saya baru,,,karenan saya mendapatkan bonus di google sebesar Rp7000000....tapi harus download dulu aplikasi pintu dan daftar.,tapi setelah saya daftar bonusnya belum masuk ke akun saya...user name@khodirsaputra11274",NEGATIF
Luar biasa keren,POSITIF
Lumayan buat uang jajan,POSITIF
"Kenapa saya tidk bisa bli token padahal saya memiliki saldo,dan terus terulang tulisan yg menyuruh saya untuk membuat ulang nilai nominal,selalu seperti itu,",NEGATIF
Lumayan,POSITIF
kode udagan @cermins,POSITIF
"Jangan mau pakai aplikasi ini, tadi pagi sy WD 50rb, WDnya berhasil, dan pemberitahuannya masuk ke rekening bank sy, pas sy cek berulang kali sampai saat ini belum ada masuk ke rekening sy Gimna nih min coba diperbaiki, atau memang mau nipu atau apa? Kucup sy aja yg kena seperti ini. Sy udh minta tolong sm pihak pintunya yaa tapi sampai saat ini belum ada yg ngebales laporan sy",NEGATIF
Jos,POSITIF
Aplikasi yang sangat bagus.!👍,POSITIF
Saya kecewa deposit dari truswallet coin bnb tidak masuk masuk,NEGATIF
"Very good application, the features provided are also complete. I hope in the future it can be at another level to be better, but so far it has been very good.",POSITIF
"Kapan ini Pintu bisa Ada jual beli Crypto LTC 'LiteCoin' ? Mohon Dong Mimin munculkan Crypto LTC di PINTU agar makin Mudah buat pengguna 🥰,",POSITIF
Mantap,POSITIF
Good,POSITIF
chat suportnya gak membantu nanya txid doang gak ada tindak lanjutnya padahal itu hal yang harus di utamain untuk pengguana mengamankan transaksinya klo ada apa apa,NEGATIF
Mantap ...... ..................,POSITIF
Ga bisa jual/beli harga berubah terus mau jual saja lemoot parah,NEGATIF
"Dari sisi penggunaan dan UI, enak, simple. Cuma dari kinerja, agak lemot/berat, apalagi input PIN. Belum ada versi dekstop nya ya?",POSITIF
Bagus sekali,POSITIF
Mantab,POSITIF
Saya penguna baru smoga dpet haddiahh,POSITIF
Biar bintang yg brbicara,POSITIF
"Aplikasi yang bagus kita bisa dpt cuan disini,,Dev kalau bisa di kasih fitur auto buy and sell pasti lebih manteb lagi. reff @songgolangit510456",POSITIF
Tolong dong ditambahin limit order. Auto order sama ditambahin grafik lebih full untuk teknikal analisis trading,NEGATIF
"Performa aplikasinya sangat lambat. Utk melakukan sebuah tindakan jual atau beli hrs tunggu lebih dr 7 detik. Padahal sinyal penuh dan ram hp saya 3gb, tp perasaan kyk hp ram 1gb dan sinyal buruk. Lemot bngt aplikasinya. Ampun dah. Gagal cuan, rugi trus klo mau profit",NEGATIF
Simpel banget kreen..,POSITIF
mantap,POSITIF
Y bagus,POSITIF
Sungguh membantu pemasukan selama pandemi seperti sekarang ini,POSITIF
"Kenapa setiap kali mau deposit susah, padahal no VA nya udah betul",NEGATIF
"Entah kenapa klo trading pintu dihp operasionalnya kyak laq gitu, padahal ram msih bnyk loh tolong ditingkatkan lagi kinerjanya",NEGATIF
Transaksinya joss ga pake lama,POSITIF
"Aplikasi yg lbih mempermudah kegiatan transaksi di pintu, good job",POSITIF
Bagus,POSITIF
"Ya akhirnya KTP gua disini sia Sia,gara gara hp gua reset eh pas gua masukin lagi ternyata baru lagi dan nyeseknya katanya belum pernah verifikasi ,gak kayak apps sebelah,mau hp nya ilang yg penting kita masukin akun Gmail kita ya selesai",NEGATIF
Bagus,POSITIF
"Apk nya nge lag, perlu ditingkatkan",NEGATIF
✔️,POSITIF
"HENTIKAN KECURANGAN INI. Kita beli Alice diharga 303.xxx estimasi harga 304.xxx dan pas bayar harga final 306.xxx ! Saya bolak balik terus, ternyata memang sengaja curang harga sudah ditambahi 2000 per item. Untuk semua pengguna pintu harap cermat sebelum membeli karena dijamin bakal kere. Untuk semua saja yang terlibat dalam apk Pintu, pada inget mati woy!",NEGATIF
"aplikasi yg bagus utk para pemula yang ingin belajar crypto, saya saranin untuk download aplikasi ini",POSITIF
Menarik,POSITIF
ok,POSITIF
Aplikasi downloadnya mudah tetapi bila masuk beli susahnya minta ampun dan begitu pula untuk jual susahnya minta ampun tidak bisa untuk menjual mana janjinya diberi kemudahan tetapi memberikan kesusahan aplikasi ini saya minta penjelasannya dan bukti bahwa aplikasi ini memberikan keuntungan bukan memberikan kami kesusahan maupun kesulitan dalam membeli maupun menjual mana buktinya dong saya tunggu penjelasannya dan juga bila memakai aplikasi dari luar bank kenapa lemotnya minta ampun.,NEGATIF
cbalah,POSITIF
app terbaik pokonya jual crypto instan penarikan bank instan banget ga sampe 5 mnit lngsung masuk rekening 😘😘 respon jg cepat pkony trbaik.. saran saya cma 1 tolong tambahin jringan bep20 BSC biar sya bsa narik ke pintu stiap hari..dn prthankan trs pintu sprti ini smuanya srba cpat,POSITIF
Very Good,POSITIF
"Dev tolol, Harga Lounch ATH $30 terus turun aja sampe jadi ampas. Blum lagi ada Airdrop Bybit. Tambah hancur dah tu Token. Modal dikit buy back napa? Ini dibiarin hancur tuh token, partner mah gak usah diraguin, Dev nya aja yang tolol. Mungkin udah kenyang Makan Duit presell",NEGATIF
gmma,POSITIF
"Jgn main disini krn potongan 2 kali, pertama pas deposit kedua pas narik dana ke rekening buat biaya admin. Criptonyo jga dikit mendingan invest di pluang, tnp biaya apapun.",NEGATIF
"Seru banyak cuan nya brooo,,, moga aja ada lagi event bonus nya, kemarin doge ga beruntung hemz....",POSITIF
"Untuk saat ini ok sih,tapi lebih ditingkatkan lagi dan dipermudah.",NEGATIF
"pintu tidak bisa masuk ke aplikasi, penipuan uang di aplikasi 30 jt dan tidak bisa di cairkan",NEGATIF
Bagus banget untuk pemula seperti saya @sudel88,POSITIF
"deposit mudah,tp pas harga naik gak bisa jual,alasan harga udah berubah,ujung2nya ya jual di harga murah.....gak lagi2 deh deposit ke pintu sebelum ada fitur auto cell....",NEGATIF
bagi yg baru pakai pintu ini menurutku permainan game jadi di pelajari dulu jangan langsung main beli permainanya jika harga turun bisa di beli jika naik siap di jual ingat terus siapa yang bisa menaikan harga dan turun itu pasti yang lebih hebat dari pada kita ok.,POSITIF
Ok buat ku untuk pemula,POSITIF
Good job,POSITIF
Baru mau uji coba,POSITIF
Lebih ringan dan elegant,POSITIF
"Aplikasi luar biasa, saya like sekali sama apk pintu. Semoga kedepan semakin sukses, dan semoga koin pintu sukses dimasa depan",POSITIF
Coba bisa kirim ke ewalet juga.pasti lebih bagus,POSITIF
Ok,POSITIF
Aplikasi yang sangat memguntungkan penggunanya,POSITIF
Tolong tambahin MANA SOL juga kpn selesai dari maintenance?,POSITIF
"Depo rupiah ga masuk"", chat support in apps no respon, admin tele jg no respon. Terus mesti kemana lagi ?",NEGATIF
Pilihan Bijak adalah Pintu trad,POSITIF
Kenapa deposit saya belum masuk2 dari tadi,NEGATIF
Saya harap pintu bisa deposit menggunakan bri,POSITIF
Oke...,POSITIF
Ok,POSITIF
Good,POSITIF
lebih bagus kode OTPnya masuk di email juga..,POSITIF
"Baru gabung, blm coba. Overall OK",POSITIF
"Jual dan beli aset digital yang paling mudah,suka bamget",POSITIF
Nyaman dan mudah dimengerti,POSITIF
Mantab bisa cuan trs,POSITIF
"Mudah di gunakan, apalagi untuk pemula.. Mantap pokoknya",POSITIF
Bagus banget buat saham bigkoin,POSITIF
Mantap!!!! Semoga pintu kedepannya makin makmur dan selalu mangadakan event dan bonus👍👍👍,POSITIF
Akun gw ilang setelah pindah hp baru... Woe..gimn ni mau masuk lg susah amat.makin ribet Lo,NEGATIF
Great,POSITIF
Sangat bagus,POSITIF
Mudah dimengerti untuk pemula yang mau belajar trading,POSITIF
Aplikasi terbaik dan terpercaya,POSITIF
"Mantap kali,,semangat Pintu",POSITIF
Bagus,POSITIF
Untuk orang Indonesia sangat cocok apalagi yang kurang paham BHS Inggris bisa treding disini dan inves tanpa ribet,POSITIF
"hati hati deposit tidak masuk, lapor via email tidak ada respons !!!",NEGATIF
Kenapa proses wd lama sekali di chat tidak merespon bagaimana dana saya ini,NEGATIF
"Dear admin/author/dev tambahkan beberapa opsi coin lain dong, seperti dash atau Tron",POSITIF
Ok,POSITIF
Semoga lebih di permudah dalam transaksi..,POSITIF
Dicoba @mukhlisintijani519,NEGATIF
apk luar biasa,POSITIF
"kinerja lambat, deposit tidak masuk"" benar"" mengecewakan.",NEGATIF
Saya barusan deposit rupiah kok belum masuk ya?,NEGATIF
Proses lambat dah dibilang nomor HP gue hilang berkas smua sesuai Verifikasi diakun sesuai idetitas gue masih juga gk percaya gimana sih biar anda percaya itu berkas saya pokok nya saya kasih bintang 1 smpai brp minggu gk ada perubahan saya kecewa benar sama pintu,NEGATIF
Luar biasa,POSITIF
Apk ny bgs,POSITIF
Top,POSITIF
Lumayan bagus,NEGATIF
"Aplikasi trading crypto paling recomended buat trading dan investasi Apalagi Ada grup telegramny admin jg ny baik baik dikasih step step buat para pemula belajar trading untuk fee wd ny murah bgt Untuk Deposit ny jg bisa mudah bisa pake bank sama ewallet shopee,dana,gopay sama ovo cocok dah di masa covid-19 😍😍😍😙",POSITIF
Baru mau coba terjun tapi belum ada modal😔,NEGATIF
Ternyata lebih nyaman di aplikasi sebelah. Hmm ☺️,NEGATIF
"di coba star 5, sama² belajar. @agusblack418171",POSITIF
Baguuuuuus banget,POSITIF
Semua Dalam genggaman..,POSITIF
"Secara tampilan dan banyak koin yg di jual sudah sangat oke, tetapi akhir2 ini aplikasinya utk jual beli tidak se smooth dulu.",NEGATIF
"Terimakasih pintu di kasih 1 PTU, pake @pria10 biar di kasih 1 token PTU lagi",POSITIF
"Hp eror,instal lagi Pintu..kok saldo saya hilang ( Beli SAND & ETHEREUM).. untung baru coba2..😂😂😂,,nilai uangnya kecil",NEGATIF
good app,POSITIF
"Cocok buat pemula mudah di pahami. Tapi kalau bisa penarik kannya bisa, DANA. OVO",POSITIF
@mysatrio012,POSITIF
Mantap,POSITIF
"Sangat membantu, semoga menjadi pintu kesuksesan bagi rakyat Indonesia 🇮🇩",POSITIF
Nyoba dulu Ach. Nanti tambah bintang kalau indah pada waktunya,NEGATIF
polume musik pol bagat,POSITIF
"Oy min , saya males ferisikasi lewat kamera , identitas mksdnya , sediain fitur upload from galeri Lah.... ngk pake baju jgk ini -_- , kalo fiturnya uda ada aku genapin bintangnya dan ferisikasi 🖐️",POSITIF
Trimakasih atas hadiah2 yng tlh di berikan,POSITIF
Mantap,POSITIF
"Event yang di tawarin ga main main untuk event 2-5 Desember , ayo buruan download aplikasi pintunya lalu daftar dan jangan lupa masukin no reff: @agilaxus94138. ,agar dapat uang 50rb",NEGATIF
Mantap surantap pokok nya🥰,POSITIF
Good,POSITIF
Krg ngeti,NEGATIF
Bagus sih aplikasi ini wajib di download👍👍,POSITIF
"GAUSH LIAT KEBAWAH, KALO MAU BONUS MASUKIN REFF YAHH @KEEZY",POSITIF
"fitur bagus, user friendly, cocok untuk pemula seperti ana, walo sedikit berat tapi masi oke lah, hmmm apalagi ya, kalo bisa ada grafis candlestick realtime diweb nya, selebihnya its okeh, ditunggu fitur2 baru nya, dan yang gabung jangan lupa input @isurg ya, salam pintu 🚪",POSITIF
"Menurut saya bagus,yang ada perbedaan harga waktu mau beli krn hp nya kurang ngegas.jika hp nya lemot ya pasti akan beda..penarikan,deposit,jual/beli menurutku cepat. Intinya harus sabar biar bisa profit.. Pake referral @fi3farrel836 biar sama2 cuan",POSITIF
Mudahkanlah.. Dapat cuan...,POSITIF
Pintu pokonya mantab deh... Yg baru dan belum punya kode refferal pake kode saya : @ikhwanabdillah1 Banyak bonus nya lho otomatis langsung dapat saldo 50 di BTC 30rb di token dan 100rb secara acak,POSITIF
"Aplikasi sering error saat jual dan beli, 👎",NEGATIF
mantap,POSITIF
"Saya dapat vucer 50rb dari samsung member kok gak masuk sampe expire, Saya kasih bintang 1 karena saya kecewa masih ada yang begini di indonesia.tolong tepati janji baru saya betulkan bintangnya.",NEGATIF
Makasih pintu.akun sy SDH on lagi Butuh waktu utk reset GA...ahirnya di reset sama pintu....,POSITIF
Good Apps,POSITIF
"Setelah update sekarang saya jatuh miskin, karena pada saat konfirmasi penjualan harga jauh lebih rendah dari estimasi harga jual.. Ini sangat tidak sesuai sekali bisa di kategorikan penipuan.. Tolong di perbaiki & di tanggapi agar pengguna nyaman & senang menggunakan pintu..",NEGATIF
Aku berharap penarikan nya bisa lewat dana bukan cuman lewat rekening,NEGATIF
Jousssss 👍👍,POSITIF
Jaringan nya lambat mohon di tingkat kan,NEGATIF
Mantap..pintu. Pokonya.. yg mau .. gabung.. pake @alitdewa99.. .. aku kasi bintang 5 pokoknya..,POSITIF
"Dari semua aplikasi cuma ini apliaksi tercepat, ternyaman, sederhana tapi mewah, ga ribet sama sekali, dan yg pasti bisa di percaya. Cuma satu sih yg bikin gue betah,, sederhana dan mudah di gunakan. Kalo aplikasi lain terlalu ribet, jadi males buat buka, pasti langsung uninstal. Sukses terus PINTU.",POSITIF
Good,POSITIF
Semoga cita-cita ku di aplikasi ini tercapai aminnn🙏,POSITIF
"Aplikasi wallet mata uang digital era jaman now, dan sangat bagus sekali karena kita bisa dapatkan cuan dengan mudah di sini, untuk yang baru punya akun di pintu masukan referal nickname di atas judul agar dapat bonus yang kalian terima, keamanan di sini sangat terjamin sudah diawasi ojk dan kominfo serta Bappebti juga, salam dari Binjai.",POSITIF
Mantap......uang saya jadi bertambah...!!!,POSITIF
"Klw ad bintang setengah,,aku kasih buat apk ini. Msh perkara verivikasi aj sulit ny bukan main. Sudah berulang x sllu gagal. Ap lg mslh yg brhubungan dengan uang x yah.... Chat operator hri ini ngchat lusa bru d bls. Yg bilang apk ini bgs, pasti antek2 ny... Para pegawai ny mungkin ya... He,,he,,he",NEGATIF
Referal @dwih260483,POSITIF
Mantap buat yg baru belajar,POSITIF
mantp pokonya,POSITIF
Layanan chat support lama... Beli dogecoin saldo gak masuk masuk tapi saldo IDR udh kepotong.. minta bantu diproses lama gak ada balasan.. 👎👎👎👎👎,NEGATIF
Parah banget saya nggak bisa masuk ini karena lupa kode Google authenticator milik saya saya sudah email ke cs nya tapi nggak ada balasan sama sekali parah lama Respon nya,NEGATIF
Lumayan puas,POSITIF
"Luar biasa banget aplikasi ini, dapat cuan banyak dengan beli coin murah pas mahal jual, gitu2 aja, yang penting mah sabar dan jangan pakai duit beras pake duit kopi aja<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIF
