content,score
kone referalnya @ r a f f a e l l 9 7 =bagi kalian yang baru gabung karna ada bonus buat pengguna baru<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Good,5
"bagus dan sangat mudah di gunakan,,jangan lupa isi nickname = @raffaell97 ;ada bonus buat pengguna baru lo<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!oke de",4
Baru mau coba jd 2 bintang dulu,2
Gak bisa login,1
Ok,5
"Masukan utk tim develop pintu, disegerakan trading deposit agar dapat diakses melalui web resmi pintu, karna lewat hp masih banyak bug dan hang ketika ingin buy/sell coin serta melihat market candle terkadang hang 3s baru bisa geser market candle, terimakasih.",2
Bagus bangat ini aplikasinya..mudah di pahami,5
"Sangat simpel dan gak pake ribettt,,responsible😍😍😍😍😍",5
"Ingat yaaa, ada bonus di pintu untuk pengguna baru yg memasukan nick@""KODEUNIK"" saat mendaftar dan jangan lupa ikut join di group telenya, banyak info"" berguna soalnya!!!<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;;;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;!!!!;!!!!;!!!!!!!!!!!!!!;!!!!!!!!;!!!!!;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
👍👍,5
Top,5
Biyaya admin nya mahal bangeeeeetttt,1
error mulu,2
Fitur jual-belinya super LELET. Harga beli n jual TIDAK SESUAI yg tertera. Aplikasi ini Sering ERORRRRRRR. PENIPU,1
"Masa invest mulai 4,7jt cokkkk, katanya 11rb",1
"Kenapa transaksi minimum bitcoin jadi 4,7 jt ya, uangku jadi tertelan nih, mana lagi butuh lagi... Responya dong!",3
Kok saya tarik saldo dari coin nya gabisa ya help,1
Kenapa min pembelian btc jadi 4.7jt? Padahal tadi siang masih bisa min 11k,1
Aplikasi ga guna ngen uh giliran beli eror pas dijual maintenance licik bgt anjirrr,1
Kenapa sekarang transaksi minimal nya berubah jadi 4700rb. Lah trus aset saya gmna bisa di ambilnya klo aset yg saya semula 400rb susut 200rb. Sekarang saya mau tarik malah dibuat minimal 4700rb. Sedih banget rasanya,1
Sering errorrrrrr,1
Bagus sih cuma maintence nya dipercepat,3
Ok,5
Mantap,5
Bermasalah teros,1
di update makin lambat aplikasi nya mau jual aj payah,1
Mantab,5
"Ahhhh ,,,, Masih lemot",2
Dtunggu bonusnya,5
Good,5
A D A Y A Ng Dan Pas Di Ya,5
Kalo beli salah satu saham pasti naik y lama tp kalo g beli naik turun y cepet hadeuuuhhh,1
Mantap👍,5
Masih Mempelajari Apl,5
Aplikasi penipu masak saya udh pke kode reffnya nmyang dpt bonus 50k tpi gak adaa penipuuuuuuuuuuuu tutup aja lah kau lagi apk,1
"Lemot,,jual/beli lebih cepat versi sebelumnya",3
luar biasa,5
biayanya tranfer crypto di pintu gak ngotak semua rata rata 600 ribuan ogah gw dagang disini yg ada tekor,1
Gunakan refferal @sinarputih . biar invest mu tambah bersinar,4
Mantap,5
Yuk invest berjamaah pakai referal @indrarizki13823,4
Ok,4
Semoga amanah,5
sya penguna baru ... smga bisa bruntung di sni ....,5
nice good,5
semogah dapat hadia airdrop lagi terima kasih Pintu,5
Aplikasi banyak bug,1
Jozzz,5
top markotop pokok ke wesss,5
"Jadi lebih mudah bersama pintu ditambah ada nick yg bisa kita cantumkan untuk dapat bonus yaitu @BUKAPINTU, lumayan loh bonus gratisnya<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",4
"Parah harga live, estimasi hingga harga final selalu beda. Tp yg pasti itu merugikan pelanggan.",1
good job 👍👍👍,5
"Apk sudah ketinggalan zaman,coin cuma sedikit system tidak jelas !!!!",1
App ini. Gk brmutu. Lah. Kcewa.kasih bintang 1 makasih,1
Apk yg sangat bagus,5
Mantap,5
Good,5
Ini bagaimana sih ngerjain orang terus ....saya sudah empat kali suruh ngulang terus terusan poto selfi.. Itu kan yang potoin saya sendiri bukan orang lain...malah alasan harus potoin sendiri...udah tau itu yang poto saya sendiri... Dah ajah kalau saya tidak bisa daftar tolong hapus data data saya di apk pintu. Baru kali ini Daftar aplikasi yanf Ribet Cuman apk PINTU doang. Malah ngerjain orang disuruh poto selfi terus terusan harus poto ulang,1
"Saya kecewa sama APK PINTU ini baru juga daftar sdah gk nyaman kayak gini, saya transaksi udah ajak teman dan teman memasukan kode undangan saya bahkan dia sdah transaksi juga, tapi saya dan teman yg saya undang gk dapat apa"" saya chat admin nya 1 jam sekali bahkan gk di balas"" lagi gk sesuai dengan event fan promosi nya",1
Im interested,5
permisi untuk pihak pintu tolong tambah coin tron dan dash dong biar lebih mantap,4
Setelah di update alamat wallet nya ko jadi berubah???,4
Josss tapi speed harga lumayan hmmm,5
sangat bagus,5
Gimana kalo lupa akun gmail... sudah daftar tapi lupa,1
bagus,5
4 duluyo bos......semoga lancarrrrrrr,4
Pengalihan aset kok tggu lama deposit mah cepet giliran dialihkan mlh dana lenyap tadinya bintang 5 gua rubah jadi bintang 1 wong slow respon..pikir2 LG aja klo download apk ini..,1
"Mantap pintu, dapat real uang untuk dipasarkan.. Maju terus pintu ajaib",5
Verifikasi lama banget bilangnya 5 menit tapi udh 2 jam ga di acc,2
Mantap,5
Mantap,5
😘,5
Bagus,5
Kapan pintu rilis shiba,5
Luar biasa,5
"Mantap, gimana cara yaa biar dapat bonus....",5
Bgus,5
"Aplikasi paling berguna banget buat menjual dan membeli mata uang digital dan aplikasi ini menjadi wallet yang terpercaya sekali, untuk pengguna baru masukan nickname referal ( @-wakadombrenk-87 ) agar dapat komisi dari teman, aplikasi ini sangat mudah digunakan untuk yang baru kenal crpto!!!!!!!!!!!!???????!!!!????!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
"Bagus tingkatkan, jngan lupa masukkan kode refferal untuk bonus @reygiz",5
Potongan beli sama jualnya tambah parah bukannya cuan malahan tekor👈,1
Mantap wd depo super cepat,5
Bagus tapi tolong untuk pilihan cryptonya di tambahin,5
baru nyoba investasi krna sdh diawasi ojk dan semoga aj ya aplikasinya aman,4
"Mata uang msh sangat minim,BCH,Ltc,trx,monero,Zec,Dash,DGB ga ada.satu lg kelemahan pintu msh blm support jaringan trc20 dan bep20...tolong kembangkan lg sprti wallet terbesar nmr 1 di indonesia indodax",1
ka apakah wajig pake kode reff teman terkait pintu bagi btc Rp. 50000.?,4
Lebih mirip aplikasi maling ya... sread nya ga besar bgt... sampe kapan tetep kalah mulu....,2
Cocok banget buat pemula...,5
Mending di pintu juga dah..kalo investasi cepat wd nya topup pun masuk kilat...apa lgi di barengin pas awal daftar masukan @masterku....sooo ambil bonus saldonya ..bisa langsu kuga buattt investasi loh..kuy<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!😃,5
"Nice, semakin lama firur nya semakin lengkap..",5
Tolong dong di perbaiki bagian jua/beli....,4
Mantap,5
Mantap,5
Mantap,5
"Ok baguslah, lancar Deposit dan juga lancar Withdrawal (gak pake lama),berarti gak abal2 ini aplikasi,untuk urusan hasilnya itu mah tergantung hoki.",5
Jaringan LeLettttttt... 👎👎👎👎👎👎👎👎,1
Ok,5
"NICE...mudah tuk digunakan,jarang² mau kasi ulasan.sepanjang pengunaan aman² saja",5
Respon cs nya lama banget,1
Aplikasi bagus buat belajar trading bagi pemula,5
"Min kok biaya admin nya mahal jga ya apalagi tranver antar bank . Diaplikasi sebelah plu**g sangat murah ,semoga kedepannya aplikasi ini bisa jadi solusi utk investasi milineal",4
Aplikasi good,5
Buat saya yang masih pemula Aplikasi Pintu sangat membantu Karena Simple dan mudah di pahami,5
Apk sgt bgus....banyak belajar banyak ilmu banyak pemasukan,5
mantul,5
Muwaannttaappppooollll,5
Ketuk pintu dulu biar masuk ke dalam dunianya,5
"Saya baru,,,karenan saya mendapatkan bonus di google sebesar Rp7000000....tapi harus download dulu aplikasi pintu dan daftar.,tapi setelah saya daftar bonusnya belum masuk ke akun saya...user name@khodirsaputra11274",1
Luar biasa keren,5
Lumayan buat uang jajan,5
"Kenapa saya tidk bisa bli token padahal saya memiliki saldo,dan terus terulang tulisan yg menyuruh saya untuk membuat ulang nilai nominal,selalu seperti itu,",1
Lumayan,5
kode udagan @cermins,5
"Jangan mau pakai aplikasi ini, tadi pagi sy WD 50rb, WDnya berhasil, dan pemberitahuannya masuk ke rekening bank sy, pas sy cek berulang kali sampai saat ini belum ada masuk ke rekening sy Gimna nih min coba diperbaiki, atau memang mau nipu atau apa? Kucup sy aja yg kena seperti ini. Sy udh minta tolong sm pihak pintunya yaa tapi sampai saat ini belum ada yg ngebales laporan sy",1
Jos,4
Aplikasi yang sangat bagus.!👍,5
Saya kecewa deposit dari truswallet coin bnb tidak masuk masuk,1
"Very good application, the features provided are also complete. I hope in the future it can be at another level to be better, but so far it has been very good.",5
"Kapan ini Pintu bisa Ada jual beli Crypto LTC 'LiteCoin' ? Mohon Dong Mimin munculkan Crypto LTC di PINTU agar makin Mudah buat pengguna 🥰,",5
Mantap,5
Good,5
chat suportnya gak membantu nanya txid doang gak ada tindak lanjutnya padahal itu hal yang harus di utamain untuk pengguana mengamankan transaksinya klo ada apa apa,1
Mantap ...... ..................,5
Ga bisa jual/beli harga berubah terus mau jual saja lemoot parah,1
"Dari sisi penggunaan dan UI, enak, simple. Cuma dari kinerja, agak lemot/berat, apalagi input PIN. Belum ada versi dekstop nya ya?",4
Bagus sekali,5
Mantab,5
Saya penguna baru smoga dpet haddiahh,4
Biar bintang yg brbicara,5
"Aplikasi yang bagus kita bisa dpt cuan disini,,Dev kalau bisa di kasih fitur auto buy and sell pasti lebih manteb lagi. reff @songgolangit510456",5
Tolong dong ditambahin limit order. Auto order sama ditambahin grafik lebih full untuk teknikal analisis trading,3
"Performa aplikasinya sangat lambat. Utk melakukan sebuah tindakan jual atau beli hrs tunggu lebih dr 7 detik. Padahal sinyal penuh dan ram hp saya 3gb, tp perasaan kyk hp ram 1gb dan sinyal buruk. Lemot bngt aplikasinya. Ampun dah. Gagal cuan, rugi trus klo mau profit",2
Simpel banget kreen..,5
mantap,5
Y bagus,5
Sungguh membantu pemasukan selama pandemi seperti sekarang ini,5
"Kenapa setiap kali mau deposit susah, padahal no VA nya udah betul",3
"Entah kenapa klo trading pintu dihp operasionalnya kyak laq gitu, padahal ram msih bnyk loh tolong ditingkatkan lagi kinerjanya",3
Transaksinya joss ga pake lama,5
"Aplikasi yg lbih mempermudah kegiatan transaksi di pintu, good job",4
Bagus,5
"Ya akhirnya KTP gua disini sia Sia,gara gara hp gua reset eh pas gua masukin lagi ternyata baru lagi dan nyeseknya katanya belum pernah verifikasi ,gak kayak apps sebelah,mau hp nya ilang yg penting kita masukin akun Gmail kita ya selesai",1
Bagus,5
"Apk nya nge lag, perlu ditingkatkan",3
✔️,5
"HENTIKAN KECURANGAN INI. Kita beli Alice diharga 303.xxx estimasi harga 304.xxx dan pas bayar harga final 306.xxx ! Saya bolak balik terus, ternyata memang sengaja curang harga sudah ditambahi 2000 per item. Untuk semua pengguna pintu harap cermat sebelum membeli karena dijamin bakal kere. Untuk semua saja yang terlibat dalam apk Pintu, pada inget mati woy!",1
"aplikasi yg bagus utk para pemula yang ingin belajar crypto, saya saranin untuk download aplikasi ini",5
Menarik,4
ok,4
Aplikasi downloadnya mudah tetapi bila masuk beli susahnya minta ampun dan begitu pula untuk jual susahnya minta ampun tidak bisa untuk menjual mana janjinya diberi kemudahan tetapi memberikan kesusahan aplikasi ini saya minta penjelasannya dan bukti bahwa aplikasi ini memberikan keuntungan bukan memberikan kami kesusahan maupun kesulitan dalam membeli maupun menjual mana buktinya dong saya tunggu penjelasannya dan juga bila memakai aplikasi dari luar bank kenapa lemotnya minta ampun.,1
cbalah,5
app terbaik pokonya jual crypto instan penarikan bank instan banget ga sampe 5 mnit lngsung masuk rekening 😘😘 respon jg cepat pkony trbaik.. saran saya cma 1 tolong tambahin jringan bep20 BSC biar sya bsa narik ke pintu stiap hari..dn prthankan trs pintu sprti ini smuanya srba cpat,5
Very Good,5
"Dev tolol, Harga Lounch ATH $30 terus turun aja sampe jadi ampas. Blum lagi ada Airdrop Bybit. Tambah hancur dah tu Token. Modal dikit buy back napa? Ini dibiarin hancur tuh token, partner mah gak usah diraguin, Dev nya aja yang tolol. Mungkin udah kenyang Makan Duit presell",1
gmma,4
"Jgn main disini krn potongan 2 kali, pertama pas deposit kedua pas narik dana ke rekening buat biaya admin. Criptonyo jga dikit mendingan invest di pluang, tnp biaya apapun.",1
"Seru banyak cuan nya brooo,,, moga aja ada lagi event bonus nya, kemarin doge ga beruntung hemz....",5
"Untuk saat ini ok sih,tapi lebih ditingkatkan lagi dan dipermudah.",3
"pintu tidak bisa masuk ke aplikasi, penipuan uang di aplikasi 30 jt dan tidak bisa di cairkan",1
Bagus banget untuk pemula seperti saya @sudel88,4
"deposit mudah,tp pas harga naik gak bisa jual,alasan harga udah berubah,ujung2nya ya jual di harga murah.....gak lagi2 deh deposit ke pintu sebelum ada fitur auto cell....",1
bagi yg baru pakai pintu ini menurutku permainan game jadi di pelajari dulu jangan langsung main beli permainanya jika harga turun bisa di beli jika naik siap di jual ingat terus siapa yang bisa menaikan harga dan turun itu pasti yang lebih hebat dari pada kita ok.,5
Ok buat ku untuk pemula,4
Good job,5
Baru mau uji coba,4
Lebih ringan dan elegant,5
"Aplikasi luar biasa, saya like sekali sama apk pintu. Semoga kedepan semakin sukses, dan semoga koin pintu sukses dimasa depan",5
Coba bisa kirim ke ewalet juga.pasti lebih bagus,4
Ok,5
Aplikasi yang sangat memguntungkan penggunanya,5
Tolong tambahin MANA SOL juga kpn selesai dari maintenance?,5
"Depo rupiah ga masuk"", chat support in apps no respon, admin tele jg no respon. Terus mesti kemana lagi ?",1
Pilihan Bijak adalah Pintu trad,5
Kenapa deposit saya belum masuk2 dari tadi,1
Saya harap pintu bisa deposit menggunakan bri,4
Oke...,5
Ok,5
Good,5
lebih bagus kode OTPnya masuk di email juga..,4
"Baru gabung, blm coba. Overall OK",4
"Jual dan beli aset digital yang paling mudah,suka bamget",5
Nyaman dan mudah dimengerti,5
Mantab bisa cuan trs,5
"Mudah di gunakan, apalagi untuk pemula.. Mantap pokoknya",5
Bagus banget buat saham bigkoin,5
Mantap!!!! Semoga pintu kedepannya makin makmur dan selalu mangadakan event dan bonus👍👍👍,5
Akun gw ilang setelah pindah hp baru... Woe..gimn ni mau masuk lg susah amat.makin ribet Lo,1
Great,5
Sangat bagus,5
Mudah dimengerti untuk pemula yang mau belajar trading,5
Aplikasi terbaik dan terpercaya,5
"Mantap kali,,semangat Pintu",5
Bagus,5
Untuk orang Indonesia sangat cocok apalagi yang kurang paham BHS Inggris bisa treding disini dan inves tanpa ribet,5
"hati hati deposit tidak masuk, lapor via email tidak ada respons !!!",1
Kenapa proses wd lama sekali di chat tidak merespon bagaimana dana saya ini,1
"Dear admin/author/dev tambahkan beberapa opsi coin lain dong, seperti dash atau Tron",5
Ok,5
Semoga lebih di permudah dalam transaksi..,5
Dicoba @mukhlisintijani519,2
apk luar biasa,5
"kinerja lambat, deposit tidak masuk"" benar"" mengecewakan.",1
Saya barusan deposit rupiah kok belum masuk ya?,2
Proses lambat dah dibilang nomor HP gue hilang berkas smua sesuai Verifikasi diakun sesuai idetitas gue masih juga gk percaya gimana sih biar anda percaya itu berkas saya pokok nya saya kasih bintang 1 smpai brp minggu gk ada perubahan saya kecewa benar sama pintu,1
Luar biasa,5
Apk ny bgs,5
Top,5
Lumayan bagus,3
"Aplikasi trading crypto paling recomended buat trading dan investasi Apalagi Ada grup telegramny admin jg ny baik baik dikasih step step buat para pemula belajar trading untuk fee wd ny murah bgt Untuk Deposit ny jg bisa mudah bisa pake bank sama ewallet shopee,dana,gopay sama ovo cocok dah di masa covid-19 😍😍😍😙",5
Baru mau coba terjun tapi belum ada modal😔,2
Ternyata lebih nyaman di aplikasi sebelah. Hmm ☺️,1
"di coba star 5, sama² belajar. @agusblack418171",5
Baguuuuuus banget,5
Semua Dalam genggaman..,5
"Secara tampilan dan banyak koin yg di jual sudah sangat oke, tetapi akhir2 ini aplikasinya utk jual beli tidak se smooth dulu.",3
"Terimakasih pintu di kasih 1 PTU, pake @pria10 biar di kasih 1 token PTU lagi",5
"Hp eror,instal lagi Pintu..kok saldo saya hilang ( Beli SAND & ETHEREUM).. untung baru coba2..😂😂😂,,nilai uangnya kecil",1
good app,5
"Cocok buat pemula mudah di pahami. Tapi kalau bisa penarik kannya bisa, DANA. OVO",5
@mysatrio012,5
Mantap,5
"Sangat membantu, semoga menjadi pintu kesuksesan bagi rakyat Indonesia 🇮🇩",5
Nyoba dulu Ach. Nanti tambah bintang kalau indah pada waktunya,3
polume musik pol bagat,5
"Oy min , saya males ferisikasi lewat kamera , identitas mksdnya , sediain fitur upload from galeri Lah.... ngk pake baju jgk ini -_- , kalo fiturnya uda ada aku genapin bintangnya dan ferisikasi 🖐️",4
Trimakasih atas hadiah2 yng tlh di berikan,5
Mantap,5
"Event yang di tawarin ga main main untuk event 2-5 Desember , ayo buruan download aplikasi pintunya lalu daftar dan jangan lupa masukin no reff: @agilaxus94138. ,agar dapat uang 50rb",3
Mantap surantap pokok nya🥰,5
Good,5
Krg ngeti,1
Bagus sih aplikasi ini wajib di download👍👍,5
"GAUSH LIAT KEBAWAH, KALO MAU BONUS MASUKIN REFF YAHH @KEEZY",5
"fitur bagus, user friendly, cocok untuk pemula seperti ana, walo sedikit berat tapi masi oke lah, hmmm apalagi ya, kalo bisa ada grafis candlestick realtime diweb nya, selebihnya its okeh, ditunggu fitur2 baru nya, dan yang gabung jangan lupa input @isurg ya, salam pintu 🚪",5
"Menurut saya bagus,yang ada perbedaan harga waktu mau beli krn hp nya kurang ngegas.jika hp nya lemot ya pasti akan beda..penarikan,deposit,jual/beli menurutku cepat. Intinya harus sabar biar bisa profit.. Pake referral @fi3farrel836 biar sama2 cuan",5
Mudahkanlah.. Dapat cuan...,5
Pintu pokonya mantab deh... Yg baru dan belum punya kode refferal pake kode saya : @ikhwanabdillah1 Banyak bonus nya lho otomatis langsung dapat saldo 50 di BTC 30rb di token dan 100rb secara acak,5
"Aplikasi sering error saat jual dan beli, 👎",1
mantap,5
"Saya dapat vucer 50rb dari samsung member kok gak masuk sampe expire, Saya kasih bintang 1 karena saya kecewa masih ada yang begini di indonesia.tolong tepati janji baru saya betulkan bintangnya.",1
Makasih pintu.akun sy SDH on lagi Butuh waktu utk reset GA...ahirnya di reset sama pintu....,5
Good Apps,5
"Setelah update sekarang saya jatuh miskin, karena pada saat konfirmasi penjualan harga jauh lebih rendah dari estimasi harga jual.. Ini sangat tidak sesuai sekali bisa di kategorikan penipuan.. Tolong di perbaiki & di tanggapi agar pengguna nyaman & senang menggunakan pintu..",1
Aku berharap penarikan nya bisa lewat dana bukan cuman lewat rekening,3
Jousssss 👍👍,5
Jaringan nya lambat mohon di tingkat kan,3
Mantap..pintu. Pokonya.. yg mau .. gabung.. pake @alitdewa99.. .. aku kasi bintang 5 pokoknya..,5
"Dari semua aplikasi cuma ini apliaksi tercepat, ternyaman, sederhana tapi mewah, ga ribet sama sekali, dan yg pasti bisa di percaya. Cuma satu sih yg bikin gue betah,, sederhana dan mudah di gunakan. Kalo aplikasi lain terlalu ribet, jadi males buat buka, pasti langsung uninstal. Sukses terus PINTU.",5
Good,5
Semoga cita-cita ku di aplikasi ini tercapai aminnn🙏,5
"Aplikasi wallet mata uang digital era jaman now, dan sangat bagus sekali karena kita bisa dapatkan cuan dengan mudah di sini, untuk yang baru punya akun di pintu masukan referal nickname di atas judul agar dapat bonus yang kalian terima, keamanan di sini sangat terjamin sudah diawasi ojk dan kominfo serta Bappebti juga, salam dari Binjai.",5
Mantap......uang saya jadi bertambah...!!!,5
"Klw ad bintang setengah,,aku kasih buat apk ini. Msh perkara verivikasi aj sulit ny bukan main. Sudah berulang x sllu gagal. Ap lg mslh yg brhubungan dengan uang x yah.... Chat operator hri ini ngchat lusa bru d bls. Yg bilang apk ini bgs, pasti antek2 ny... Para pegawai ny mungkin ya... He,,he,,he",1
Referal @dwih260483,5
Mantap buat yg baru belajar,5
mantp pokonya,5
Layanan chat support lama... Beli dogecoin saldo gak masuk masuk tapi saldo IDR udh kepotong.. minta bantu diproses lama gak ada balasan.. 👎👎👎👎👎,1
Parah banget saya nggak bisa masuk ini karena lupa kode Google authenticator milik saya saya sudah email ke cs nya tapi nggak ada balasan sama sekali parah lama Respon nya,2
Lumayan puas,5
"Luar biasa banget aplikasi ini, dapat cuan banyak dengan beli coin murah pas mahal jual, gitu2 aja, yang penting mah sabar dan jangan pakai duit beras pake duit kopi aja<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
"PARAH BANGSAD BUKA PORTOFOLIO TULISAN NYA MOHON MENUNGGU MULU. SERVER KNTOL PADAHAL WAKTU "" NYA NAIK MAU NGEJUAL GBLOKK",1
Ok mantap baru beberapa hari terbang pesat. Thanks PINTU . Jngn lupa pakai referral @nurbayaticute88111. Tetap berjuang 🙏🤗,5
Mudah menggunakannya..,5
Aplikasi yang begitu membantu.,5
Mantap lah,5
"bintang 3 dulu, nanti kalo udah bira tarik via dana, ovo, dll di tambahin lagj",3
"Banyakin lagi criptonya,,, terus biaya jual beli ny jangan mahal2",4
Yg mau daftar pakai refferal saya biar dpt keuntungan bersama @annisasikumbang650,4
Bisa d bantu yg mastah2 d pintu....q blom masukin referal ni,4
"Rasakan aplikasinya, Desain aplikasi yang simpel dan ramah pengguna menjadikan Pintu sebagai platform investasi crypto termudah di Indonesia yang cocok digunakan semua kalangan, Rasakan mudahnya membeli, menjual, serta mengelola aset crypto dengan berbagai fitur yang ditawarkan di aplikasi Pintu, Ditambah dengan tampilannya yang futuristik dan elegan, pengalaman kamu dalam menggunakan aplikasi Pintu akan terasa semakin menyenangkan!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
@udin2alam474,5
hayalan orang miskin semoga jd orang kaya..16HbNn3XiXCkAsyDP1n7rduf5urprDPoVV,5
Best,5
Ga masuk2 aplikasi bangke kali !! Ga ada yang bener buatan indonesia emang..,1
Semuga kedepannya aplikasi pintu lebih bermanfaat bagi msyarakat indonesia umumnya pada generasi mileneal yg komitmen dlm berinvestasi,5
"Mohon diperbaiki, aplikasi berat dijalankan, dan juga ditambah chart per menit",3
Ok,5
saran kami mohon ada peningkatan untuk pengembangan sell limit dan buy limit masak sich. trader di suruh jaga 24 jam penuh,4
Transaksi cepat siip pintu,5
Is the best,5
Aplikasi kripto tertolol yg pernah gw pakai. Dari sekian aplikasi kripto yg gw temui. Cuma aplikasi sampah ini yg gk jelas. Entah jam bearapa riset persentase nya . Baru aja -4% dengan harga 96.000 dan bberapa menit kemudian -0.10% masih harga sekitar 96.100. tak logis. Dan tak masuk akal harusnya naik harga lebih tinggi awas. Jangan gunakan apk ini. Tidak update dan tidak sama signal dengan aslinya. Hanya menguntukan pihak aplikasi. Dan menguras uang pengguna aplikasi.. TERPARAAH...,1
Pintu sangat mudah dan support sangat responsive,5
Tambahkan auto order Beli atau jual,4
Katanya sich dapat komisi bitcoin...tp dtgguin belum ada. Saya harap ada klarifikasi nya..??,5
