ulasan,rating,nilai
"bagus dan sangat mudah di gunakan,,jangan lupa isi nickname = @raffaell97 ;ada bonus buat pengguna baru lo<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!oke de",4,POSITIF
Baru mau coba jd 2 bintang dulu,2,NEGATIF
Gak bisa login,1,NEGATIF
Ok,5,POSITIF
"Masukan utk tim develop pintu, disegerakan trading deposit agar dapat diakses melalui web resmi pintu, karna lewat hp masih banyak bug dan hang ketika ingin buy/sell coin serta melihat market candle terkadang hang 3s baru bisa geser market candle, terimakasih.",2,NEGATIF
Bagus bangat ini aplikasinya..mudah di pahami,5,POSITIF
"Sangat simpel dan gak pake ribettt,,responsible😍😍😍😍😍",5,POSITIF
"Ingat yaaa, ada bonus di pintu untuk pengguna baru yg memasukan nick@""KODEUNIK"" saat mendaftar dan jangan lupa ikut join di group telenya, banyak info"" berguna soalnya!!!<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;;;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;!!!!;!!!!;!!!!!!!!!!!!!!;!!!!!!!!;!!!!!;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIF
👍👍,5,POSITIF
Top,5,POSITIF
Biyaya admin nya mahal bangeeeeetttt,1,NEGATIF
error mulu,2,NEGATIF
Fitur jual-belinya super LELET. Harga beli n jual TIDAK SESUAI yg tertera. Aplikasi ini Sering ERORRRRRRR. PENIPU,1,NEGATIF
"Masa invest mulai 4,7jt cokkkk, katanya 11rb",1,NEGATIF
"Kenapa transaksi minimum bitcoin jadi 4,7 jt ya, uangku jadi tertelan nih, mana lagi butuh lagi... Responya dong!",3,NEGATIF
Kok saya tarik saldo dari coin nya gabisa ya help,1,NEGATIF
Kenapa min pembelian btc jadi 4.7jt? Padahal tadi siang masih bisa min 11k,1,NEGATIF
Aplikasi ga guna ngen uh giliran beli eror pas dijual maintenance licik bgt anjirrr,1,NEGATIF
Kenapa sekarang transaksi minimal nya berubah jadi 4700rb. Lah trus aset saya gmna bisa di ambilnya klo aset yg saya semula 400rb susut 200rb. Sekarang saya mau tarik malah dibuat minimal 4700rb. Sedih banget rasanya,1,NEGATIF
Sering errorrrrrr,1,NEGATIF
Bagus sih cuma maintence nya dipercepat,3,NEGATIF
Ok,5,POSITIF
Mantap,5,POSITIF
Bermasalah teros,1,NEGATIF
di update makin lambat aplikasi nya mau jual aj payah,1,NEGATIF
Mantab,5,POSITIF
"Ahhhh ,,,, Masih lemot",2,NEGATIF
Dtunggu bonusnya,5,POSITIF
Good,5,POSITIF
A D A Y A Ng Dan Pas Di Ya,5,POSITIF
Kalo beli salah satu saham pasti naik y lama tp kalo g beli naik turun y cepet hadeuuuhhh,1,NEGATIF
Mantap👍,5,POSITIF
Masih Mempelajari Apl,5,POSITIF
Aplikasi penipu masak saya udh pke kode reffnya nmyang dpt bonus 50k tpi gak adaa penipuuuuuuuuuuuu tutup aja lah kau lagi apk,1,NEGATIF
"Lemot,,jual/beli lebih cepat versi sebelumnya",3,NEGATIF
luar biasa,5,POSITIF
biayanya tranfer crypto di pintu gak ngotak semua rata rata 600 ribuan ogah gw dagang disini yg ada tekor,1,NEGATIF
Gunakan refferal @sinarputih . biar invest mu tambah bersinar,4,POSITIF
Mantap,5,POSITIF
Yuk invest berjamaah pakai referal @indrarizki13823,4,POSITIF
Ok,4,POSITIF
Semoga amanah,5,POSITIF
sya penguna baru ... smga bisa bruntung di sni ....,5,POSITIF
nice good,5,POSITIF
semogah dapat hadia airdrop lagi terima kasih Pintu,5,POSITIF
Aplikasi banyak bug,1,NEGATIF
Jozzz,5,POSITIF
top markotop pokok ke wesss,5,POSITIF
"Jadi lebih mudah bersama pintu ditambah ada nick yg bisa kita cantumkan untuk dapat bonus yaitu @BUKAPINTU, lumayan loh bonus gratisnya<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",4,POSITIF
"Parah harga live, estimasi hingga harga final selalu beda. Tp yg pasti itu merugikan pelanggan.",1,NEGATIF
good job 👍👍👍,5,POSITIF
"Apk sudah ketinggalan zaman,coin cuma sedikit system tidak jelas !!!!",1,NEGATIF
App ini. Gk brmutu. Lah. Kcewa.kasih bintang 1 makasih,1,NEGATIF
Apk yg sangat bagus,5,POSITIF
Mantap,5,POSITIF
Good,5,POSITIF
Ini bagaimana sih ngerjain orang terus ....saya sudah empat kali suruh ngulang terus terusan poto selfi.. Itu kan yang potoin saya sendiri bukan orang lain...malah alasan harus potoin sendiri...udah tau itu yang poto saya sendiri... Dah ajah kalau saya tidak bisa daftar tolong hapus data data saya di apk pintu. Baru kali ini Daftar aplikasi yanf Ribet Cuman apk PINTU doang. Malah ngerjain orang disuruh poto selfi terus terusan harus poto ulang,1,NEGATIF
"Saya kecewa sama APK PINTU ini baru juga daftar sdah gk nyaman kayak gini, saya transaksi udah ajak teman dan teman memasukan kode undangan saya bahkan dia sdah transaksi juga, tapi saya dan teman yg saya undang gk dapat apa"" saya chat admin nya 1 jam sekali bahkan gk di balas"" lagi gk sesuai dengan event fan promosi nya",1,NEGATIF
Im interested,5,POSITIF
permisi untuk pihak pintu tolong tambah coin tron dan dash dong biar lebih mantap,4,POSITIF
Setelah di update alamat wallet nya ko jadi berubah???,4,POSITIF
Josss tapi speed harga lumayan hmmm,5,POSITIF
sangat bagus,5,POSITIF
Gimana kalo lupa akun gmail... sudah daftar tapi lupa,1,NEGATIF
bagus,5,POSITIF
4 duluyo bos......semoga lancarrrrrrr,4,POSITIF
Pengalihan aset kok tggu lama deposit mah cepet giliran dialihkan mlh dana lenyap tadinya bintang 5 gua rubah jadi bintang 1 wong slow respon..pikir2 LG aja klo download apk ini..,1,NEGATIF
"Mantap pintu, dapat real uang untuk dipasarkan.. Maju terus pintu ajaib",5,POSITIF
Verifikasi lama banget bilangnya 5 menit tapi udh 2 jam ga di acc,2,NEGATIF
Mantap,5,POSITIF
Mantap,5,POSITIF
😘,5,POSITIF
Bagus,5,POSITIF
Kapan pintu rilis shiba,5,POSITIF
Luar biasa,5,POSITIF
"Mantap, gimana cara yaa biar dapat bonus....",5,POSITIF
Bgus,5,POSITIF
"Aplikasi paling berguna banget buat menjual dan membeli mata uang digital dan aplikasi ini menjadi wallet yang terpercaya sekali, untuk pengguna baru masukan nickname referal ( @-wakadombrenk-87 ) agar dapat komisi dari teman, aplikasi ini sangat mudah digunakan untuk yang baru kenal crpto!!!!!!!!!!!!???????!!!!????!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIF
"Bagus tingkatkan, jngan lupa masukkan kode refferal untuk bonus @reygiz",5,POSITIF
Potongan beli sama jualnya tambah parah bukannya cuan malahan tekor👈,1,NEGATIF
Mantap wd depo super cepat,5,POSITIF
Bagus tapi tolong untuk pilihan cryptonya di tambahin,5,POSITIF
baru nyoba investasi krna sdh diawasi ojk dan semoga aj ya aplikasinya aman,4,POSITIF
"Mata uang msh sangat minim,BCH,Ltc,trx,monero,Zec,Dash,DGB ga ada.satu lg kelemahan pintu msh blm support jaringan trc20 dan bep20...tolong kembangkan lg sprti wallet terbesar nmr 1 di indonesia indodax",1,NEGATIF
ka apakah wajig pake kode reff teman terkait pintu bagi btc Rp. 50000.?,4,POSITIF
Lebih mirip aplikasi maling ya... sread nya ga besar bgt... sampe kapan tetep kalah mulu....,2,NEGATIF
Cocok banget buat pemula...,5,POSITIF
Mending di pintu juga dah..kalo investasi cepat wd nya topup pun masuk kilat...apa lgi di barengin pas awal daftar masukan @masterku....sooo ambil bonus saldonya ..bisa langsu kuga buattt investasi loh..kuy<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!😃,5,POSITIF
"Nice, semakin lama firur nya semakin lengkap..",5,POSITIF
Tolong dong di perbaiki bagian jua/beli....,4,POSITIF
Mantap,5,POSITIF
Mantap,5,POSITIF
Mantap,5,POSITIF
"Ok baguslah, lancar Deposit dan juga lancar Withdrawal (gak pake lama),berarti gak abal2 ini aplikasi,untuk urusan hasilnya itu mah tergantung hoki.",5,POSITIF
Jaringan LeLettttttt... 👎👎👎👎👎👎👎👎,1,NEGATIF
Ok,5,POSITIF
"NICE...mudah tuk digunakan,jarang² mau kasi ulasan.sepanjang pengunaan aman² saja",5,POSITIF
Respon cs nya lama banget,1,NEGATIF
Aplikasi bagus buat belajar trading bagi pemula,5,POSITIF
"Min kok biaya admin nya mahal jga ya apalagi tranver antar bank . Diaplikasi sebelah plu**g sangat murah ,semoga kedepannya aplikasi ini bisa jadi solusi utk investasi milineal",4,POSITIF
Aplikasi good,5,POSITIF
Buat saya yang masih pemula Aplikasi Pintu sangat membantu Karena Simple dan mudah di pahami,5,POSITIF
Apk sgt bgus....banyak belajar banyak ilmu banyak pemasukan,5,POSITIF
mantul,5,POSITIF
Muwaannttaappppooollll,5,POSITIF
Ketuk pintu dulu biar masuk ke dalam dunianya,5,POSITIF
"Saya baru,,,karenan saya mendapatkan bonus di google sebesar Rp7000000....tapi harus download dulu aplikasi pintu dan daftar.,tapi setelah saya daftar bonusnya belum masuk ke akun saya...user name@khodirsaputra11274",1,NEGATIF
Luar biasa keren,5,POSITIF
Lumayan buat uang jajan,5,POSITIF
"Kenapa saya tidk bisa bli token padahal saya memiliki saldo,dan terus terulang tulisan yg menyuruh saya untuk membuat ulang nilai nominal,selalu seperti itu,",1,NEGATIF
Lumayan,5,POSITIF
kode udagan @cermins,5,POSITIF
"Jangan mau pakai aplikasi ini, tadi pagi sy WD 50rb, WDnya berhasil, dan pemberitahuannya masuk ke rekening bank sy, pas sy cek berulang kali sampai saat ini belum ada masuk ke rekening sy Gimna nih min coba diperbaiki, atau memang mau nipu atau apa? Kucup sy aja yg kena seperti ini. Sy udh minta tolong sm pihak pintunya yaa tapi sampai saat ini belum ada yg ngebales laporan sy",1,NEGATIF
Jos,4,POSITIF
Aplikasi yang sangat bagus.!👍,5,POSITIF
Saya kecewa deposit dari truswallet coin bnb tidak masuk masuk,1,NEGATIF
"Very good application, the features provided are also complete. I hope in the future it can be at another level to be better, but so far it has been very good.",5,POSITIF
"Kapan ini Pintu bisa Ada jual beli Crypto LTC 'LiteCoin' ? Mohon Dong Mimin munculkan Crypto LTC di PINTU agar makin Mudah buat pengguna 🥰,",5,POSITIF
Mantap,5,POSITIF
Good,5,POSITIF
chat suportnya gak membantu nanya txid doang gak ada tindak lanjutnya padahal itu hal yang harus di utamain untuk pengguana mengamankan transaksinya klo ada apa apa,1,NEGATIF
Mantap ...... ..................,5,POSITIF
Ga bisa jual/beli harga berubah terus mau jual saja lemoot parah,1,NEGATIF
"Dari sisi penggunaan dan UI, enak, simple. Cuma dari kinerja, agak lemot/berat, apalagi input PIN. Belum ada versi dekstop nya ya?",4,POSITIF
Bagus sekali,5,POSITIF
Mantab,5,POSITIF
Saya penguna baru smoga dpet haddiahh,4,POSITIF
Biar bintang yg brbicara,5,POSITIF
"Aplikasi yang bagus kita bisa dpt cuan disini,,Dev kalau bisa di kasih fitur auto buy and sell pasti lebih manteb lagi. reff @songgolangit510456",5,POSITIF
Tolong dong ditambahin limit order. Auto order sama ditambahin grafik lebih full untuk teknikal analisis trading,3,NEGATIF
"Performa aplikasinya sangat lambat. Utk melakukan sebuah tindakan jual atau beli hrs tunggu lebih dr 7 detik. Padahal sinyal penuh dan ram hp saya 3gb, tp perasaan kyk hp ram 1gb dan sinyal buruk. Lemot bngt aplikasinya. Ampun dah. Gagal cuan, rugi trus klo mau profit",2,NEGATIF
Simpel banget kreen..,5,POSITIF
mantap,5,POSITIF
Y bagus,5,POSITIF
Sungguh membantu pemasukan selama pandemi seperti sekarang ini,5,POSITIF
"Kenapa setiap kali mau deposit susah, padahal no VA nya udah betul",3,NEGATIF
"Entah kenapa klo trading pintu dihp operasionalnya kyak laq gitu, padahal ram msih bnyk loh tolong ditingkatkan lagi kinerjanya",3,NEGATIF
Transaksinya joss ga pake lama,5,POSITIF
"Aplikasi yg lbih mempermudah kegiatan transaksi di pintu, good job",4,POSITIF
Bagus,5,POSITIF
"Ya akhirnya KTP gua disini sia Sia,gara gara hp gua reset eh pas gua masukin lagi ternyata baru lagi dan nyeseknya katanya belum pernah verifikasi ,gak kayak apps sebelah,mau hp nya ilang yg penting kita masukin akun Gmail kita ya selesai",1,NEGATIF
Bagus,5,POSITIF
"Apk nya nge lag, perlu ditingkatkan",3,NEGATIF
✔️,5,POSITIF
"HENTIKAN KECURANGAN INI. Kita beli Alice diharga 303.xxx estimasi harga 304.xxx dan pas bayar harga final 306.xxx ! Saya bolak balik terus, ternyata memang sengaja curang harga sudah ditambahi 2000 per item. Untuk semua pengguna pintu harap cermat sebelum membeli karena dijamin bakal kere. Untuk semua saja yang terlibat dalam apk Pintu, pada inget mati woy!",1,NEGATIF
"aplikasi yg bagus utk para pemula yang ingin belajar crypto, saya saranin untuk download aplikasi ini",5,POSITIF
Menarik,4,POSITIF
ok,4,POSITIF
Aplikasi downloadnya mudah tetapi bila masuk beli susahnya minta ampun dan begitu pula untuk jual susahnya minta ampun tidak bisa untuk menjual mana janjinya diberi kemudahan tetapi memberikan kesusahan aplikasi ini saya minta penjelasannya dan bukti bahwa aplikasi ini memberikan keuntungan bukan memberikan kami kesusahan maupun kesulitan dalam membeli maupun menjual mana buktinya dong saya tunggu penjelasannya dan juga bila memakai aplikasi dari luar bank kenapa lemotnya minta ampun.,1,NEGATIF
cbalah,5,POSITIF
app terbaik pokonya jual crypto instan penarikan bank instan banget ga sampe 5 mnit lngsung masuk rekening 😘😘 respon jg cepat pkony trbaik.. saran saya cma 1 tolong tambahin jringan bep20 BSC biar sya bsa narik ke pintu stiap hari..dn prthankan trs pintu sprti ini smuanya srba cpat,5,POSITIF
Very Good,5,POSITIF
"Dev tolol, Harga Lounch ATH $30 terus turun aja sampe jadi ampas. Blum lagi ada Airdrop Bybit. Tambah hancur dah tu Token. Modal dikit buy back napa? Ini dibiarin hancur tuh token, partner mah gak usah diraguin, Dev nya aja yang tolol. Mungkin udah kenyang Makan Duit presell",1,NEGATIF
gmma,4,POSITIF
"Jgn main disini krn potongan 2 kali, pertama pas deposit kedua pas narik dana ke rekening buat biaya admin. Criptonyo jga dikit mendingan invest di pluang, tnp biaya apapun.",1,NEGATIF
"Seru banyak cuan nya brooo,,, moga aja ada lagi event bonus nya, kemarin doge ga beruntung hemz....",5,POSITIF
"Untuk saat ini ok sih,tapi lebih ditingkatkan lagi dan dipermudah.",3,NEGATIF
"pintu tidak bisa masuk ke aplikasi, penipuan uang di aplikasi 30 jt dan tidak bisa di cairkan",1,NEGATIF
Bagus banget untuk pemula seperti saya @sudel88,4,POSITIF
"deposit mudah,tp pas harga naik gak bisa jual,alasan harga udah berubah,ujung2nya ya jual di harga murah.....gak lagi2 deh deposit ke pintu sebelum ada fitur auto cell....",1,NEGATIF
bagi yg baru pakai pintu ini menurutku permainan game jadi di pelajari dulu jangan langsung main beli permainanya jika harga turun bisa di beli jika naik siap di jual ingat terus siapa yang bisa menaikan harga dan turun itu pasti yang lebih hebat dari pada kita ok.,5,POSITIF
Ok buat ku untuk pemula,4,POSITIF
Good job,5,POSITIF
Baru mau uji coba,4,POSITIF
Lebih ringan dan elegant,5,POSITIF
"Aplikasi luar biasa, saya like sekali sama apk pintu. Semoga kedepan semakin sukses, dan semoga koin pintu sukses dimasa depan",5,POSITIF
Coba bisa kirim ke ewalet juga.pasti lebih bagus,4,POSITIF
Ok,5,POSITIF
Aplikasi yang sangat memguntungkan penggunanya,5,POSITIF
Tolong tambahin MANA SOL juga kpn selesai dari maintenance?,5,POSITIF
"Depo rupiah ga masuk"", chat support in apps no respon, admin tele jg no respon. Terus mesti kemana lagi ?",1,NEGATIF
Pilihan Bijak adalah Pintu trad,5,POSITIF
Kenapa deposit saya belum masuk2 dari tadi,1,NEGATIF
Saya harap pintu bisa deposit menggunakan bri,4,POSITIF
Oke...,5,POSITIF
Ok,5,POSITIF
Good,5,POSITIF
lebih bagus kode OTPnya masuk di email juga..,4,POSITIF
"Baru gabung, blm coba. Overall OK",4,POSITIF
"Jual dan beli aset digital yang paling mudah,suka bamget",5,POSITIF
Nyaman dan mudah dimengerti,5,POSITIF
Mantab bisa cuan trs,5,POSITIF
"Mudah di gunakan, apalagi untuk pemula.. Mantap pokoknya",5,POSITIF
Bagus banget buat saham bigkoin,5,POSITIF
Mantap!!!! Semoga pintu kedepannya makin makmur dan selalu mangadakan event dan bonus👍👍👍,5,POSITIF
Akun gw ilang setelah pindah hp baru... Woe..gimn ni mau masuk lg susah amat.makin ribet Lo,1,NEGATIF
Great,5,POSITIF
Sangat bagus,5,POSITIF
Mudah dimengerti untuk pemula yang mau belajar trading,5,POSITIF
Aplikasi terbaik dan terpercaya,5,POSITIF
"Mantap kali,,semangat Pintu",5,POSITIF
Bagus,5,POSITIF
Untuk orang Indonesia sangat cocok apalagi yang kurang paham BHS Inggris bisa treding disini dan inves tanpa ribet,5,POSITIF
"hati hati deposit tidak masuk, lapor via email tidak ada respons !!!",1,NEGATIF
Kenapa proses wd lama sekali di chat tidak merespon bagaimana dana saya ini,1,NEGATIF
"Dear admin/author/dev tambahkan beberapa opsi coin lain dong, seperti dash atau Tron",5,POSITIF
Ok,5,POSITIF
Semoga lebih di permudah dalam transaksi..,5,POSITIF
Dicoba @mukhlisintijani519,2,NEGATIF
apk luar biasa,5,POSITIF
"kinerja lambat, deposit tidak masuk"" benar"" mengecewakan.",1,NEGATIF
Saya barusan deposit rupiah kok belum masuk ya?,2,NEGATIF
Proses lambat dah dibilang nomor HP gue hilang berkas smua sesuai Verifikasi diakun sesuai idetitas gue masih juga gk percaya gimana sih biar anda percaya itu berkas saya pokok nya saya kasih bintang 1 smpai brp minggu gk ada perubahan saya kecewa benar sama pintu,1,NEGATIF
Luar biasa,5,POSITIF
Apk ny bgs,5,POSITIF
Top,5,POSITIF
Lumayan bagus,3,NEGATIF
"Aplikasi trading crypto paling recomended buat trading dan investasi Apalagi Ada grup telegramny admin jg ny baik baik dikasih step step buat para pemula belajar trading untuk fee wd ny murah bgt Untuk Deposit ny jg bisa mudah bisa pake bank sama ewallet shopee,dana,gopay sama ovo cocok dah di masa covid-19 😍😍😍😙",5,POSITIF
Baru mau coba terjun tapi belum ada modal😔,2,NEGATIF
Ternyata lebih nyaman di aplikasi sebelah. Hmm ☺️,1,NEGATIF
"di coba star 5, sama² belajar. @agusblack418171",5,POSITIF
Baguuuuuus banget,5,POSITIF
Semua Dalam genggaman..,5,POSITIF
"Secara tampilan dan banyak koin yg di jual sudah sangat oke, tetapi akhir2 ini aplikasinya utk jual beli tidak se smooth dulu.",3,NEGATIF
"Terimakasih pintu di kasih 1 PTU, pake @pria10 biar di kasih 1 token PTU lagi",5,POSITIF
"Hp eror,instal lagi Pintu..kok saldo saya hilang ( Beli SAND & ETHEREUM).. untung baru coba2..😂😂😂,,nilai uangnya kecil",1,NEGATIF
good app,5,POSITIF
"Cocok buat pemula mudah di pahami. Tapi kalau bisa penarik kannya bisa, DANA. OVO",5,POSITIF
@mysatrio012,5,POSITIF
Mantap,5,POSITIF
"Sangat membantu, semoga menjadi pintu kesuksesan bagi rakyat Indonesia 🇮🇩",5,POSITIF
Nyoba dulu Ach. Nanti tambah bintang kalau indah pada waktunya,3,NEGATIF
polume musik pol bagat,5,POSITIF
"Oy min , saya males ferisikasi lewat kamera , identitas mksdnya , sediain fitur upload from galeri Lah.... ngk pake baju jgk ini -_- , kalo fiturnya uda ada aku genapin bintangnya dan ferisikasi 🖐️",4,POSITIF
Trimakasih atas hadiah2 yng tlh di berikan,5,POSITIF
Mantap,5,POSITIF
"Event yang di tawarin ga main main untuk event 2-5 Desember , ayo buruan download aplikasi pintunya lalu daftar dan jangan lupa masukin no reff: @agilaxus94138. ,agar dapat uang 50rb",3,NEGATIF
Mantap surantap pokok nya🥰,5,POSITIF
Good,5,POSITIF
Krg ngeti,1,NEGATIF
Bagus sih aplikasi ini wajib di download👍👍,5,POSITIF
"GAUSH LIAT KEBAWAH, KALO MAU BONUS MASUKIN REFF YAHH @KEEZY",5,POSITIF
"fitur bagus, user friendly, cocok untuk pemula seperti ana, walo sedikit berat tapi masi oke lah, hmmm apalagi ya, kalo bisa ada grafis candlestick realtime diweb nya, selebihnya its okeh, ditunggu fitur2 baru nya, dan yang gabung jangan lupa input @isurg ya, salam pintu 🚪",5,POSITIF
"Menurut saya bagus,yang ada perbedaan harga waktu mau beli krn hp nya kurang ngegas.jika hp nya lemot ya pasti akan beda..penarikan,deposit,jual/beli menurutku cepat. Intinya harus sabar biar bisa profit.. Pake referral @fi3farrel836 biar sama2 cuan",5,POSITIF
Mudahkanlah.. Dapat cuan...,5,POSITIF
Pintu pokonya mantab deh... Yg baru dan belum punya kode refferal pake kode saya : @ikhwanabdillah1 Banyak bonus nya lho otomatis langsung dapat saldo 50 di BTC 30rb di token dan 100rb secara acak,5,POSITIF
"Aplikasi sering error saat jual dan beli, 👎",1,NEGATIF
mantap,5,POSITIF
"Saya dapat vucer 50rb dari samsung member kok gak masuk sampe expire, Saya kasih bintang 1 karena saya kecewa masih ada yang begini di indonesia.tolong tepati janji baru saya betulkan bintangnya.",1,NEGATIF
Makasih pintu.akun sy SDH on lagi Butuh waktu utk reset GA...ahirnya di reset sama pintu....,5,POSITIF
Good Apps,5,POSITIF
"Setelah update sekarang saya jatuh miskin, karena pada saat konfirmasi penjualan harga jauh lebih rendah dari estimasi harga jual.. Ini sangat tidak sesuai sekali bisa di kategorikan penipuan.. Tolong di perbaiki & di tanggapi agar pengguna nyaman & senang menggunakan pintu..",1,NEGATIF
Aku berharap penarikan nya bisa lewat dana bukan cuman lewat rekening,3,NEGATIF
Jousssss 👍👍,5,POSITIF
Jaringan nya lambat mohon di tingkat kan,3,NEGATIF
Mantap..pintu. Pokonya.. yg mau .. gabung.. pake @alitdewa99.. .. aku kasi bintang 5 pokoknya..,5,POSITIF
"Dari semua aplikasi cuma ini apliaksi tercepat, ternyaman, sederhana tapi mewah, ga ribet sama sekali, dan yg pasti bisa di percaya. Cuma satu sih yg bikin gue betah,, sederhana dan mudah di gunakan. Kalo aplikasi lain terlalu ribet, jadi males buat buka, pasti langsung uninstal. Sukses terus PINTU.",5,POSITIF
Good,5,POSITIF
Semoga cita-cita ku di aplikasi ini tercapai aminnn🙏,5,POSITIF
"Aplikasi wallet mata uang digital era jaman now, dan sangat bagus sekali karena kita bisa dapatkan cuan dengan mudah di sini, untuk yang baru punya akun di pintu masukan referal nickname di atas judul agar dapat bonus yang kalian terima, keamanan di sini sangat terjamin sudah diawasi ojk dan kominfo serta Bappebti juga, salam dari Binjai.",5,POSITIF
Mantap......uang saya jadi bertambah...!!!,5,POSITIF
"Klw ad bintang setengah,,aku kasih buat apk ini. Msh perkara verivikasi aj sulit ny bukan main. Sudah berulang x sllu gagal. Ap lg mslh yg brhubungan dengan uang x yah.... Chat operator hri ini ngchat lusa bru d bls. Yg bilang apk ini bgs, pasti antek2 ny... Para pegawai ny mungkin ya... He,,he,,he",1,NEGATIF
Referal @dwih260483,5,POSITIF
Mantap buat yg baru belajar,5,POSITIF
mantp pokonya,5,POSITIF
Layanan chat support lama... Beli dogecoin saldo gak masuk masuk tapi saldo IDR udh kepotong.. minta bantu diproses lama gak ada balasan.. 👎👎👎👎👎,1,NEGATIF
