at,userName,content,score
2021-12-04 10:40:54,Tri Wahyuni,Gak bisa login,1
2021-12-04 10:12:15,Ade Kurniawan 45,Ok,5
2021-12-04 9:32:09,Muhammad Al-Ghanusi,"Masukan utk tim develop pintu, disegerakan trading deposit agar dapat diakses melalui web resmi pintu, karna lewat hp masih banyak bug dan hang ketika ingin buy/sell coin serta melihat market candle terkadang hang 3s baru bisa geser market candle, terimakasih.",2
2021-12-04 9:31:34,Busairi heri,Bagus bangat ini aplikasinya..mudah di pahami,5
2021-12-04 9:29:25,YULIA ANTOVIRAT L.,"Sangat simpel dan gak pake ribettt,,responsible😍😍😍😍😍",5
2021-12-04 9:17:48,Lisna Melani,"Ingat yaaa, ada bonus di pintu untuk pengguna baru yg memasukan nick@""KODEUNIK"" saat mendaftar dan jangan lupa ikut join di group telenya, banyak info"" berguna soalnya!!!<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;;;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;!!!!;!!!!;!!!!!!!!!!!!!!;!!!!!!!!;!!!!!;!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
2021-12-04 8:48:23,Khairullah Khair,👍👍,5
2021-12-04 8:34:54,bibi Powerranger,Top,5
2021-12-04 7:13:09,Rifqi Hamid,Biyaya admin nya mahal bangeeeeetttt,1
2021-12-04 7:00:47,gudang cover,error mulu,2
2021-12-04 6:58:14,Rasakan Kau,Fitur jual-belinya super LELET. Harga beli n jual TIDAK SESUAI yg tertera. Aplikasi ini Sering ERORRRRRRR. PENIPU,1
2021-12-04 6:56:55,IS Dlt,"Masa invest mulai 4,7jt cokkkk, katanya 11rb",1
2021-12-04 6:53:07,SANDI 1498,"Kenapa transaksi minimum bitcoin jadi 4,7 jt ya, uangku jadi tertelan nih, mana lagi butuh lagi... Responya dong!",3
2021-12-04 6:53:05,Faisal Rasyid,Kok saya tarik saldo dari coin nya gabisa ya help,1
2021-12-04 6:48:22,Nurkhikmah Apriyani,Kenapa min pembelian btc jadi 4.7jt? Padahal tadi siang masih bisa min 11k,1
2021-12-04 6:44:21,MOCHAMMAD JULIANSYAH,Aplikasi ga guna ngen uh giliran beli eror pas dijual maintenance licik bgt anjirrr,1
2021-12-04 6:43:49,Uri Jahuri,Kenapa sekarang transaksi minimal nya berubah jadi 4700rb. Lah trus aset saya gmna bisa di ambilnya klo aset yg saya semula 400rb susut 200rb. Sekarang saya mau tarik malah dibuat minimal 4700rb. Sedih banget rasanya,1
2021-12-04 6:43:05,M.Rezza Syahrizal,Sering errorrrrrr,1
2021-12-04 6:32:56,Afika Fitria,Bagus sih cuma maintence nya dipercepat,3
2021-12-04 6:12:15,FATUR ROHMAN B MUKTAR,Ok,5
2021-12-04 6:04:26,Muhammad Zaki,Mantap,5
2021-12-04 5:59:44,Ryan Cung,Bermasalah teros,1
2021-12-04 5:49:23,GADING MAS,di update makin lambat aplikasi nya mau jual aj payah,1
2021-12-04 5:48:38,Hanna Lova,Mantab,5
2021-12-04 5:47:40,Boim 66,"Ahhhh ,,,, Masih lemot",2
2021-12-04 4:44:59,alvaros gaming,Dtunggu bonusnya,5
2021-12-04 4:32:00,Syahruddin Syahrul,Good,5
2021-12-04 4:29:41,Akar Yadi,A D A Y A Ng Dan Pas Di Ya,5
2021-12-04 4:10:14,Indra Firmansyah,Kalo beli salah satu saham pasti naik y lama tp kalo g beli naik turun y cepet hadeuuuhhh,1
2021-12-04 3:55:22,Sarpin Widiatmoko,Mantap👍,5
2021-12-04 3:36:16,Husen Erlangga,Masih Mempelajari Apl,5
2021-12-04 3:28:58,Maghfirah Ramadhani,Aplikasi penipu masak saya udh pke kode reffnya nmyang dpt bonus 50k tpi gak adaa penipuuuuuuuuuuuu tutup aja lah kau lagi apk,1
2021-12-04 3:13:58,Sugeng Hariyanto,"Lemot,,jual/beli lebih cepat versi sebelumnya",3
2021-12-04 3:01:30,rustam safirulla,luar biasa,5
2021-12-04 2:41:59,Syaif ms,biayanya tranfer crypto di pintu gak ngotak semua rata rata 600 ribuan ogah gw dagang disini yg ada tekor,1
2021-12-04 1:48:48,Djam sebelas,Gunakan refferal @sinarputih . biar invest mu tambah bersinar,4
2021-12-04 1:38:31,Ando Themax,Mantap,5
2021-12-04 1:33:27,D.O.T Tipi,Yuk invest berjamaah pakai referal @indrarizki13823,4
2021-12-04 1:09:14,James Rorong,Ok,4
2021-12-04 0:52:27,Vx vahmijez,Semoga amanah,5
2021-12-04 0:40:29,Dewi Sinta,sya penguna baru ... smga bisa bruntung di sni ....,5
2021-12-04 0:26:15,Ilham Mirza,nice good,5
2021-12-03 23:48:23,Dero TV,semogah dapat hadia airdrop lagi terima kasih Pintu,5
2021-12-03 23:37:25,Inspirasi Media,Aplikasi banyak bug,1
2021-12-03 22:57:26,Galery Selebritis Official,Jozzz,5
2021-12-03 22:48:44,Mochalawie Zubed,top markotop pokok ke wesss,5
2021-12-03 22:03:22,Slot Hacker,"Jadi lebih mudah bersama pintu ditambah ada nick yg bisa kita cantumkan untuk dapat bonus yaitu @BUKAPINTU, lumayan loh bonus gratisnya<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",4
2021-12-03 19:59:30,Riyanizal Afsanzani,"Parah harga live, estimasi hingga harga final selalu beda. Tp yg pasti itu merugikan pelanggan.",1
2021-12-03 19:12:09,bayu putra,good job 👍👍👍,5
2021-12-03 18:38:13,eka rock,"Apk sudah ketinggalan zaman,coin cuma sedikit system tidak jelas !!!!",1
2021-12-03 18:32:01,mawar indah,App ini. Gk brmutu. Lah. Kcewa.kasih bintang 1 makasih,1
2021-12-03 18:09:14,GPXbaim wong,Apk yg sangat bagus,5
2021-12-03 17:58:02,MR herizon,Mantap,5
2021-12-03 17:39:42,Seto Seni,Good,5
2021-12-03 17:36:10,Lave Ga,Ini bagaimana sih ngerjain orang terus ....saya sudah empat kali suruh ngulang terus terusan poto selfi.. Itu kan yang potoin saya sendiri bukan orang lain...malah alasan harus potoin sendiri...udah tau itu yang poto saya sendiri... Dah ajah kalau saya tidak bisa daftar tolong hapus data data saya di apk pintu. Baru kali ini Daftar aplikasi yanf Ribet Cuman apk PINTU doang. Malah ngerjain orang disuruh poto selfi terus terusan harus poto ulang,1
2021-12-03 17:11:18,Nurmiee Hariadi,"Saya kecewa sama APK PINTU ini baru juga daftar sdah gk nyaman kayak gini, saya transaksi udah ajak teman dan teman memasukan kode undangan saya bahkan dia sdah transaksi juga, tapi saya dan teman yg saya undang gk dapat apa"" saya chat admin nya 1 jam sekali bahkan gk di balas"" lagi gk sesuai dengan event fan promosi nya",1
2021-12-03 17:08:34,Ganda Aryana,Im interested,5
2021-12-03 16:27:52,Sandi Rustiawan,permisi untuk pihak pintu tolong tambah coin tron dan dash dong biar lebih mantap,4
2021-12-03 16:18:26,j jainudin,Setelah di update alamat wallet nya ko jadi berubah???,4
2021-12-03 16:06:52,Azpi Bing,Josss tapi speed harga lumayan hmmm,5
2021-12-03 15:49:25,munzir munzir,sangat bagus,5
2021-12-03 15:36:15,Muhamad Adit setiawan,Gimana kalo lupa akun gmail... sudah daftar tapi lupa,1
2021-12-03 15:28:32,campret ae,bagus,5
2021-12-03 15:18:06,Imam M,4 duluyo bos......semoga lancarrrrrrr,4
2021-12-03 14:59:13,Rahasia Mata,Pengalihan aset kok tggu lama deposit mah cepet giliran dialihkan mlh dana lenyap tadinya bintang 5 gua rubah jadi bintang 1 wong slow respon..pikir2 LG aja klo download apk ini..,1
2021-12-03 14:53:28,Eekayam Eek,"Mantap pintu, dapat real uang untuk dipasarkan.. Maju terus pintu ajaib",5
2021-12-03 14:47:16,Erni Ernoy,Verifikasi lama banget bilangnya 5 menit tapi udh 2 jam ga di acc,2
2021-12-03 14:06:17,teu boga chanel,Mantap,5
2021-12-03 13:44:48,Rion Doyok,Mantap,5
2021-12-03 13:44:00,Al Base,😘,5
2021-12-03 13:11:50,coco rico,Bagus,5
2021-12-03 12:58:27,Azroi 301,Kapan pintu rilis shiba,5
2021-12-03 12:32:39,Triman 1403,Luar biasa,5
2021-12-03 11:37:19,rahmat rahmat,"Mantap, gimana cara yaa biar dapat bonus....",5
2021-12-03 11:32:13,Ali Partono,Bgus,5
2021-12-03 11:27:53,Isi ❺❻❽❶❺❻❹❷❼ Kode SnackV,"Aplikasi paling berguna banget buat menjual dan membeli mata uang digital dan aplikasi ini menjadi wallet yang terpercaya sekali, untuk pengguna baru masukan nickname referal ( @-wakadombrenk-87 ) agar dapat komisi dari teman, aplikasi ini sangat mudah digunakan untuk yang baru kenal crpto!!!!!!!!!!!!???????!!!!????!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
2021-12-03 11:23:10,reynaldi rahardian,"Bagus tingkatkan, jngan lupa masukkan kode refferal untuk bonus @reygiz",5
2021-12-03 11:15:56,Mba Darmi,Potongan beli sama jualnya tambah parah bukannya cuan malahan tekor👈,1
2021-12-03 10:53:02,GilangR Channel,Mantap wd depo super cepat,5
2021-12-03 10:33:26,Yasit saddam,Bagus tapi tolong untuk pilihan cryptonya di tambahin,5
2021-12-03 10:26:39,Madan Al - Insann,baru nyoba investasi krna sdh diawasi ojk dan semoga aj ya aplikasinya aman,4
2021-12-03 10:20:01,Ady Senirupa,"Mata uang msh sangat minim,BCH,Ltc,trx,monero,Zec,Dash,DGB ga ada.satu lg kelemahan pintu msh blm support jaringan trc20 dan bep20...tolong kembangkan lg sprti wallet terbesar nmr 1 di indonesia indodax",1
2021-12-03 10:18:13,Rizal Saputrra,ka apakah wajig pake kode reff teman terkait pintu bagi btc Rp. 50000.?,4
2021-12-03 10:13:05,R Adyaksa,Lebih mirip aplikasi maling ya... sread nya ga besar bgt... sampe kapan tetep kalah mulu....,2
2021-12-03 10:12:19,Irmann Skybusman,Cocok banget buat pemula...,5
2021-12-03 10:10:20,Sel Blok,Mending di pintu juga dah..kalo investasi cepat wd nya topup pun masuk kilat...apa lgi di barengin pas awal daftar masukan @masterku....sooo ambil bonus saldonya ..bisa langsu kuga buattt investasi loh..kuy<<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!😃,5
2021-12-03 10:00:32,Awal Aja,"Nice, semakin lama firur nya semakin lengkap..",5
2021-12-03 9:52:52,Resa Sandrean,Tolong dong di perbaiki bagian jua/beli....,4
2021-12-03 9:47:04,gusti harianto,Mantap,5
2021-12-03 9:40:31,Irvan Badi,Mantap,5
2021-12-03 9:23:09,andy liu albugisy,Mantap,5
2021-12-03 9:19:10,uj gandi,"Ok baguslah, lancar Deposit dan juga lancar Withdrawal (gak pake lama),berarti gak abal2 ini aplikasi,untuk urusan hasilnya itu mah tergantung hoki.",5
2021-12-03 8:59:37,Aidilla Nawal,Jaringan LeLettttttt... 👎👎👎👎👎👎👎👎,1
2021-12-03 8:41:30,Ans,Ok,5
2021-12-03 8:40:55,Kiki Efendy,"NICE...mudah tuk digunakan,jarang² mau kasi ulasan.sepanjang pengunaan aman² saja",5
2021-12-03 8:17:13,sipam o,Respon cs nya lama banget,1
2021-12-03 8:13:25,Dani Trisdian,Aplikasi bagus buat belajar trading bagi pemula,5
2021-12-03 8:08:19,Satria BORDIR,"Min kok biaya admin nya mahal jga ya apalagi tranver antar bank . Diaplikasi sebelah plu**g sangat murah ,semoga kedepannya aplikasi ini bisa jadi solusi utk investasi milineal",4
2021-12-03 7:58:35,Abdul Rahman,Aplikasi good,5
2021-12-03 7:53:03,Afan Askhuri,Buat saya yang masih pemula Aplikasi Pintu sangat membantu Karena Simple dan mudah di pahami,5
2021-12-03 7:53:00,Sudar Pansa,Apk sgt bgus....banyak belajar banyak ilmu banyak pemasukan,5
2021-12-03 7:49:49,Yuk Bagi Ilmu,mantul,5
2021-12-03 7:42:53,alpin elektronika,Muwaannttaappppooollll,5
2021-12-03 7:28:23,Randi 2021,Ketuk pintu dulu biar masuk ke dalam dunianya,5
2021-12-03 6:33:50,Khodir Saputra,"Saya baru,,,karenan saya mendapatkan bonus di google sebesar Rp7000000....tapi harus download dulu aplikasi pintu dan daftar.,tapi setelah saya daftar bonusnya belum masuk ke akun saya...user name@khodirsaputra11274",1
2021-12-03 6:25:30,Eko Yoan,Luar biasa keren,5
2021-12-03 6:18:54,Kusnanto dimyati,Lumayan buat uang jajan,5
2021-12-03 6:11:47,KONSTANSIUS EDO,"Kenapa saya tidk bisa bli token padahal saya memiliki saldo,dan terus terulang tulisan yg menyuruh saya untuk membuat ulang nilai nominal,selalu seperti itu,",1
2021-12-03 6:10:31,Jasri Mobile,Lumayan,5
2021-12-03 5:47:15,Ceper Borneo,kode udagan @cermins,5
2021-12-03 5:32:58,Aby Kecil,"Jangan mau pakai aplikasi ini, tadi pagi sy WD 50rb, WDnya berhasil, dan pemberitahuannya masuk ke rekening bank sy, pas sy cek berulang kali sampai saat ini belum ada masuk ke rekening sy Gimna nih min coba diperbaiki, atau memang mau nipu atau apa? Kucup sy aja yg kena seperti ini. Sy udh minta tolong sm pihak pintunya yaa tapi sampai saat ini belum ada yg ngebales laporan sy",1
2021-12-03 4:46:39,Hadie pati85,Jos,4
2021-12-03 4:30:41,zona crypto,Aplikasi yang sangat bagus.!👍,5
2021-12-03 4:27:28,DUNIA UWAK HITAM,Saya kecewa deposit dari truswallet coin bnb tidak masuk masuk,1
2021-12-03 4:23:03,PaceNap Rum,"Very good application, the features provided are also complete. I hope in the future it can be at another level to be better, but so far it has been very good.",5
2021-12-03 4:19:23,Sempitan Official,"Kapan ini Pintu bisa Ada jual beli Crypto LTC 'LiteCoin' ? Mohon Dong Mimin munculkan Crypto LTC di PINTU agar makin Mudah buat pengguna 🥰,",5
2021-12-03 4:18:44,Boy Abg Keren,Mantap,5
2021-12-03 4:04:52,Muhammad Ardian Hendri Azhari,Good,5
2021-12-03 3:20:40,heroe setiawan,chat suportnya gak membantu nanya txid doang gak ada tindak lanjutnya padahal itu hal yang harus di utamain untuk pengguana mengamankan transaksinya klo ada apa apa,1
2021-12-03 3:17:47,Nur Sodik,Mantap ...... ..................,5
2021-12-03 3:07:55,Reynaldy firman aditya,Ga bisa jual/beli harga berubah terus mau jual saja lemoot parah,1
2021-12-03 3:07:28,dede samsudin,"Dari sisi penggunaan dan UI, enak, simple. Cuma dari kinerja, agak lemot/berat, apalagi input PIN. Belum ada versi dekstop nya ya?",4
2021-12-03 2:54:26,Farid Muttaqin,Bagus sekali,5
2021-12-03 2:54:02,Bonnie 12,Mantab,5
2021-12-03 2:49:45,Bocil Barbar,Saya penguna baru smoga dpet haddiahh,4
2021-12-03 2:40:54,Fajar Ali,Biar bintang yg brbicara,5
2021-12-03 2:35:30,Songgo Langit,"Aplikasi yang bagus kita bisa dpt cuan disini,,Dev kalau bisa di kasih fitur auto buy and sell pasti lebih manteb lagi. reff @songgolangit510456",5
2021-12-03 2:32:44,Abdul Latif,Tolong dong ditambahin limit order. Auto order sama ditambahin grafik lebih full untuk teknikal analisis trading,3
2021-12-03 2:10:32,Noob Dream,"Performa aplikasinya sangat lambat. Utk melakukan sebuah tindakan jual atau beli hrs tunggu lebih dr 7 detik. Padahal sinyal penuh dan ram hp saya 3gb, tp perasaan kyk hp ram 1gb dan sinyal buruk. Lemot bngt aplikasinya. Ampun dah. Gagal cuan, rugi trus klo mau profit",2
2021-12-03 2:01:24,kabar baik,Simpel banget kreen..,5
2021-12-03 1:52:05,Mangun,mantap,5
2021-12-03 1:46:49,hepi nurhayati,Y bagus,5
2021-12-03 1:20:58,didik pordjo,Sungguh membantu pemasukan selama pandemi seperti sekarang ini,5
2021-12-03 1:13:38,Rizal Fauzi,"Kenapa setiap kali mau deposit susah, padahal no VA nya udah betul",3
2021-12-03 1:08:28,kunyek project,"Entah kenapa klo trading pintu dihp operasionalnya kyak laq gitu, padahal ram msih bnyk loh tolong ditingkatkan lagi kinerjanya",3
2021-12-03 0:57:35,Esyarif Budiman,Transaksinya joss ga pake lama,5
2021-12-03 0:42:08,ngevlog aja,"Aplikasi yg lbih mempermudah kegiatan transaksi di pintu, good job",4
2021-12-03 0:35:20,Hotmaria Simbolon,Bagus,5
2021-12-03 0:15:30,Sini Cuan,"Ya akhirnya KTP gua disini sia Sia,gara gara hp gua reset eh pas gua masukin lagi ternyata baru lagi dan nyeseknya katanya belum pernah verifikasi ,gak kayak apps sebelah,mau hp nya ilang yg penting kita masukin akun Gmail kita ya selesai",1
2021-12-03 0:07:33,Ji Trisna,Bagus,5
2021-12-03 0:01:11,Wahyu Renoldy,"Apk nya nge lag, perlu ditingkatkan",3
2021-12-02 23:56:19,Ahmad Halim,✔️,5
2021-12-02 23:51:22,Sam Junaedi,"HENTIKAN KECURANGAN INI. Kita beli Alice diharga 303.xxx estimasi harga 304.xxx dan pas bayar harga final 306.xxx ! Saya bolak balik terus, ternyata memang sengaja curang harga sudah ditambahi 2000 per item. Untuk semua pengguna pintu harap cermat sebelum membeli karena dijamin bakal kere. Untuk semua saja yang terlibat dalam apk Pintu, pada inget mati woy!",1
2021-12-02 23:32:08,agoes soewitra,"aplikasi yg bagus utk para pemula yang ingin belajar crypto, saya saranin untuk download aplikasi ini",5
2021-12-02 22:42:45,Singgih Yunianto,Menarik,4
2021-12-02 21:48:28,Bondan Sulvioso,ok,4
2021-12-02 21:36:15,Arridwan Arridwan,Aplikasi downloadnya mudah tetapi bila masuk beli susahnya minta ampun dan begitu pula untuk jual susahnya minta ampun tidak bisa untuk menjual mana janjinya diberi kemudahan tetapi memberikan kesusahan aplikasi ini saya minta penjelasannya dan bukti bahwa aplikasi ini memberikan keuntungan bukan memberikan kami kesusahan maupun kesulitan dalam membeli maupun menjual mana buktinya dong saya tunggu penjelasannya dan juga bila memakai aplikasi dari luar bank kenapa lemotnya minta ampun.,1
2021-12-02 20:09:49,Sahril tanjung,cbalah,5
2021-12-02 19:40:00,sry jayaa27,app terbaik pokonya jual crypto instan penarikan bank instan banget ga sampe 5 mnit lngsung masuk rekening 😘😘 respon jg cepat pkony trbaik.. saran saya cma 1 tolong tambahin jringan bep20 BSC biar sya bsa narik ke pintu stiap hari..dn prthankan trs pintu sprti ini smuanya srba cpat,5
2021-12-02 17:44:53,Danang Triasmoro,Very Good,5
2021-12-02 17:29:00,utun 1,"Dev tolol, Harga Lounch ATH $30 terus turun aja sampe jadi ampas. Blum lagi ada Airdrop Bybit. Tambah hancur dah tu Token. Modal dikit buy back napa? Ini dibiarin hancur tuh token, partner mah gak usah diraguin, Dev nya aja yang tolol. Mungkin udah kenyang Makan Duit presell",1
2021-12-02 17:21:18,Rusdi,gmma,4
2021-12-02 17:05:45,kiki eko,"Jgn main disini krn potongan 2 kali, pertama pas deposit kedua pas narik dana ke rekening buat biaya admin. Criptonyo jga dikit mendingan invest di pluang, tnp biaya apapun.",1
2021-12-02 16:45:53,Herdi Ana,"Seru banyak cuan nya brooo,,, moga aja ada lagi event bonus nya, kemarin doge ga beruntung hemz....",5
2021-12-02 16:45:02,appalah chanel,"Untuk saat ini ok sih,tapi lebih ditingkatkan lagi dan dipermudah.",3
2021-12-02 16:07:53,Rian Delviandi,"pintu tidak bisa masuk ke aplikasi, penipuan uang di aplikasi 30 jt dan tidak bisa di cairkan",1
2021-12-02 15:55:50,Dede Sulaeman,Bagus banget untuk pemula seperti saya @sudel88,4
2021-12-02 15:39:38,Abdul Mujib,"deposit mudah,tp pas harga naik gak bisa jual,alasan harga udah berubah,ujung2nya ya jual di harga murah.....gak lagi2 deh deposit ke pintu sebelum ada fitur auto cell....",1
2021-12-02 15:31:57,Siti Mashitoh,bagi yg baru pakai pintu ini menurutku permainan game jadi di pelajari dulu jangan langsung main beli permainanya jika harga turun bisa di beli jika naik siap di jual ingat terus siapa yang bisa menaikan harga dan turun itu pasti yang lebih hebat dari pada kita ok.,5
2021-12-02 15:20:22,Rian To,Ok buat ku untuk pemula,4
2021-12-02 15:18:30,nova rustiadi nova,Good job,5
2021-12-02 15:13:36,juli yadhi,Baru mau uji coba,4
2021-12-02 15:03:39,Rubino,Lebih ringan dan elegant,5
2021-12-02 15:03:30,Muh Fathoni,"Aplikasi luar biasa, saya like sekali sama apk pintu. Semoga kedepan semakin sukses, dan semoga koin pintu sukses dimasa depan",5
2021-12-02 14:59:34,Imam Syafii,Coba bisa kirim ke ewalet juga.pasti lebih bagus,4
2021-12-02 14:58:14,Harry Maryanto,Ok,5
2021-12-02 14:17:27,made gledek,Aplikasi yang sangat memguntungkan penggunanya,5
2021-12-02 14:11:20,Gabrielle Rattu,Tolong tambahin MANA SOL juga kpn selesai dari maintenance?,5
2021-12-02 13:53:36,VIRGO,"Depo rupiah ga masuk"", chat support in apps no respon, admin tele jg no respon. Terus mesti kemana lagi ?",1
2021-12-02 13:51:39,Dede Sembara,Pilihan Bijak adalah Pintu trad,5
2021-12-02 13:49:58,Alfen Tanwir,Kenapa deposit saya belum masuk2 dari tadi,1
2021-12-02 13:47:58,Egi Teguh Saputra,Saya harap pintu bisa deposit menggunakan bri,4
2021-12-02 13:38:28,ADT46 _com,Oke...,5
2021-12-02 13:21:32,Cahyono Irwanto,Ok,5
2021-12-02 13:20:25,candra Aditiya,Good,5
2021-12-02 13:06:18,febriansyah rian,lebih bagus kode OTPnya masuk di email juga..,4
2021-12-02 13:06:11,hadi nugroho,"Baru gabung, blm coba. Overall OK",4
2021-12-02 12:49:48,abbay wadam,"Jual dan beli aset digital yang paling mudah,suka bamget",5
2021-12-02 12:46:24,Ivan Riyanto,Nyaman dan mudah dimengerti,5
2021-12-02 12:38:30,MuAlim Mualim,Mantab bisa cuan trs,5
2021-12-02 12:38:07,Nofri YT,"Mudah di gunakan, apalagi untuk pemula.. Mantap pokoknya",5
2021-12-02 12:35:14,Hadi Purnomo,Bagus banget buat saham bigkoin,5
2021-12-02 12:34:03,Wahyu Syamsuri,Mantap!!!! Semoga pintu kedepannya makin makmur dan selalu mangadakan event dan bonus👍👍👍,5
2021-12-02 12:27:50,Budi Steel Budi,Akun gw ilang setelah pindah hp baru... Woe..gimn ni mau masuk lg susah amat.makin ribet Lo,1
2021-12-02 12:27:46,yovi saputra,Great,5
2021-12-02 12:24:03,"El,s Chanels",Sangat bagus,5
2021-12-02 12:23:01,moch aga,Mudah dimengerti untuk pemula yang mau belajar trading,5
2021-12-02 11:53:13,Dedy Setyawan12,Aplikasi terbaik dan terpercaya,5
2021-12-02 11:53:02,Feliks Edon,"Mantap kali,,semangat Pintu",5
2021-12-02 11:32:04,hercent jokam,Bagus,5
2021-12-02 11:23:11,Nine Star,Untuk orang Indonesia sangat cocok apalagi yang kurang paham BHS Inggris bisa treding disini dan inves tanpa ribet,5
2021-12-02 11:04:45,Haris Aja,"hati hati deposit tidak masuk, lapor via email tidak ada respons !!!",1
